Critical Note,iNaturalist taxon name,iNaturalist taxon ID,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Date Reported
,Sagina procumbens,55667,4,"{""iNat:6910160"":[49.042992,-123.629158],""iNat:19386890"":[49.046883,-123.634065],""iNat:19388557"":[49.0418,-123.643081]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sagineae,Sagina,Sagina procumbens,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2017-06-24T20:16:00.000Z
,Saldula pallipes,454107,1,"{""RBCM:345"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Leptopodomorpha,Leptopodoidea,Saldidae,,,Saldula,Saldula pallipes,Joel Gibson,RBCM,Valdes Island,2017-06-25T00:00:00.000Z,Joel Gibson,RBCM,Valdes Island,2017-06-25T00:00:00.000Z
,Salicornia depressa,78930,4,"{""VIC:584"":[49.059442,-123.624488]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,Salicornia depressa,,VIC,Valdes Island,2014-05-31T00:00:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Salix lasiandra,78943,1,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,Salix lasiandra,,,,,,,,
,Salix scouleriana,71076,1,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,Salix scouleriana,,,,,,,,
,Sambucus cerulea,143799,1,"{""iNat:28440186"":[49.041552,-123.643078]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,Sambucus cerulea,Andrew Simon,iNat,,2019-07-07T19:41:00.000Z,Andrew Simon,iNat,,2019-07-07T19:41:00.000Z
,Sambucus racemosa,57824,4,"{""iNat:6813615"":[49.063192,-123.63105],""iNat:19386234"":[49.056104,-123.628743]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,Sambucus racemosa,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2017-06-24T16:39:00.000Z
,Sanicula crassicaulis,53201,6,"{""iNat:37150246"":[49.1251,-123.7034],""iNat:39050772"":[49.126044,-123.701447],""iNat:73662376"":[49.064361,-123.654778],""iNat:73662382"":[49.064308,-123.654922],""iNat:73662386"":[49.064328,-123.654808]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,Sanicula crassicaulis,John D Reynolds,iNat,,2019-12-29T21:23:00.000Z,John D Reynolds,iNat,,2021-04-04T21:53:00.000Z
,Sarcodiotheca furcata,327100,1,"{""PMLS:2692"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Solieriaceae,,,Sarcodiotheca,Sarcodiotheca furcata,,PMLS,Josef Point,2009-02-21T12:43:00.000Z,,PMLS,Josef Point,2009-02-21T12:43:00.000Z
,Sarcodiotheca gaudichaudii,327099,10,"{""PMLS:1119"":[49.01585,-123.611406],""PMLS:1558"":[49.03,-123.58667],""PMLS:1644"":[49.1287,-123.7029],""PMLS:2274"":[49.03,-123.58667],""PMLS:2365"":[49.03,-123.58667],""PMLS:3136"":[49.03,-123.58667],""PMLS:3870"":[49.01585,-123.611406],""PMLS:4191"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Solieriaceae,,,Sarcodiotheca,Sarcodiotheca gaudichaudii,B. Patriquem,UBC,Valdes Island,1972-07-20T00:00:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Sargassum muticum,130177,37,"{""PMLS:248"":[49.1287,-123.7029],""PMLS:454"":[49.1287,-123.7029],""PMLS:558"":[49.12667,-123.69167],""PMLS:645"":[49.1287,-123.7029],""PMLS:839"":[49.1287,-123.7029],""PMLS:962"":[49.1287,-123.7029],""PMLS:1050"":[49.055777,-123.657959],""PMLS:1117"":[49.01585,-123.611406],""PMLS:1254"":[49.03,-123.58667],""PMLS:1412"":[49.01667,-123.595],""PMLS:1545"":[49.03,-123.58667],""PMLS:1633"":[49.1287,-123.7029],""PMLS:1760"":[49.03,-123.58667],""PMLS:1861"":[49.03,-123.58667],""PMLS:1974"":[49.03,-123.58667],""PMLS:2261"":[49.03,-123.58667],""PMLS:2352"":[49.03,-123.58667],""PMLS:2495"":[49.1287,-123.7029],""PMLS:2673"":[49.1287,-123.7029],""PMLS:2786"":[49.03,-123.58667],""PMLS:2909"":[49.01833,-123.59],""PMLS:3123"":[49.03,-123.58667],""PMLS:3321"":[49.03,-123.58667],""PMLS:3478"":[49.1287,-123.7029],""PMLS:3674"":[49.03,-123.58667],""PMLS:3759"":[49.1287,-123.7029],""PMLS:4034"":[49.03,-123.58667],""PMLS:4080"":[49.1287,-123.7029],""PMLS:4185"":[49.1287,-123.7029],""PMLS:4372"":[49.087832,-123.684704],""iNat:73916288"":[49.064806,-123.655506],""UBC:53"":[49.1,-123.7],""VIC:61"":[49.059442,-123.624488]}",Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,,Sargassaceae,,,Sargassum,Sargassum muticum,B. Patriquem,UBC,Valdes Island,1972-07-20T00:00:00.000Z,John D Reynolds,iNat,Valdes Island cliffs,2021-04-04T21:52:00.000Z
,Sarsia tubulosa,448319,1,"{""PMLS:3150"":[49.03,-123.58667]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,,Corynidae,,,Sarsia,Sarsia tubulosa,,PMLS,wreck of the Del Norte,2009-05-16T14:37:00.000Z,,PMLS,wreck of the Del Norte,2009-05-16T14:37:00.000Z
,Saxidomus gigantea,130233,16,"{""PMLS:1584"":[49.03,-123.58667],""PMLS:2848"":[49.03,-123.58667],""PMLS:3073"":[49.01833,-123.59],""PMLS:3444"":[49.03,-123.58667],""PMLS:3881"":[49.01585,-123.611406],""PMLS:4245"":[49.1287,-123.7029],""iNat:30466519"":[49.064728,-123.654817],""iNat:30466520"":[49.064719,-123.654817],""iNat:30466522"":[49.064728,-123.654603],""iNat:37146191"":[49.124439,-123.697586],""iNat:39049960"":[49.1184,-123.687858],""iNat:55809883"":[49.064636,-123.654564],""iNat:59625801"":[49.064817,-123.654639],""VIC:372"":[49.059442,-123.624488]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Veneroidea,Veneridae,,,Saxidomus,Saxidomus gigantea,,PMLS,Josef Point,1997-10-19T12:23:00.000Z,John D Reynolds,iNat,Cardale Point,2020-09-06T20:32:00.000Z
,Scabrotrophon maltzani,500269,2,"{""PMLS:2009"":[49.03,-123.58667],""PMLS:3629"":[49.02333,-123.585]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Trophoninae,,Scabrotrophon,Scabrotrophon maltzani,,PMLS,wreck of the Del Norte,2008-06-22T10:44:00.000Z,,PMLS,Canoe Island Reef (Death Rock),2012-07-15T14:21:00.000Z
,Scaeva pyrastri,52160,1,"{""RBCM:346"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Syrphidae,Syrphinae,Syrphini,Scaeva,Scaeva pyrastri,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z
,Scapania bolanderi,123692,1,,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Scapania,Scapania bolanderi,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z
,Scatella obsoleta,493854,1,"{""RBCM:347"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Ephydroidea,Ephydridae,Ephydrinae,Scatellini,Scatella,Scatella obsoleta,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z
,Scatella paludum,494934,1,"{""RBCM:348"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Ephydroidea,Ephydridae,Ephydrinae,Scatellini,Scatella,Scatella paludum,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z
,Scatella stagnalis,311479,7,"{""RBCM:349"":[49.058056,-123.623889],""RBCM:350"":[49.058056,-123.623889],""RBCM:351"":[49.058056,-123.623889],""RBCM:352"":[49.058056,-123.623889],""RBCM:353"":[49.058056,-123.623889],""RBCM:354"":[49.058056,-123.623889],""RBCM:355"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Ephydroidea,Ephydridae,Ephydrinae,Scatellini,Scatella,Scatella stagnalis,Joel Gibson,RBCM,Valdes Island,2017-06-25T00:00:00.000Z,Joel Gibson,RBCM,Valdes Island,2017-06-25T00:00:00.000Z
,Schizobranchia insignis,339561,3,"{""PMLS:34"":[49.126005,-123.717882],""PMLS:2834"":[49.03,-123.58667],""PMLS:3876"":[49.01585,-123.611406]}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Schizobranchia,Schizobranchia insignis,,PMLS,Dibuxante Cove,1970-04-03T13:30:00.000Z,,PMLS,Cardale Point,2013-01-02T12:22:00.000Z
,Schizoporella japonica,519486,18,"{""PMLS:174"":[49.1287,-123.7029],""PMLS:275"":[49.1287,-123.7029],""PMLS:414"":[49.1287,-123.7029],""PMLS:528"":[49.1287,-123.7029],""PMLS:707"":[49.1287,-123.7029],""PMLS:766"":[49.1287,-123.7029],""PMLS:877"":[49.1287,-123.7029],""PMLS:1322"":[49.03,-123.58667],""PMLS:1465"":[49.01667,-123.595],""PMLS:1897"":[49.03,-123.58667],""PMLS:2178"":[49.01833,-123.59],""PMLS:2837"":[49.03,-123.58667],""PMLS:2957"":[49.01833,-123.59],""PMLS:3063"":[49.01833,-123.59],""PMLS:3700"":[49.03,-123.58667],""PMLS:3794"":[49.1287,-123.7029],""PMLS:3929"":[49.03,-123.58667],""PMLS:4266"":[49.1287,-123.7029]}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Schizoporelloidea,Schizoporellidae,,,Schizoporella,Schizoporella japonica,,PMLS,Josef Bay,1986-07-13T09:15:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Schizoporella unicornis,195985,4,"{""VIC:376"":[49.059442,-123.624488]}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Schizoporelloidea,Schizoporellidae,,,Schizoporella,Schizoporella unicornis,,VIC,Valdes Island,2014-05-31T00:00:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Schizymenia pacifica,339050,2,"{""PMLS:1272"":[49.03,-123.58667],""PMLS:2275"":[49.03,-123.58667]}",Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Schizymeniaceae,,,Schizymenia,Schizymenia pacifica,,PMLS,wreck of the Del Norte,2008-03-23T11:43:00.000Z,,PMLS,wreck of the Del Norte,2008-09-19T13:15:00.000Z
,Schuchertinia milleri,854771,13,"{""PMLS:166"":[49.1287,-123.7029],""PMLS:268"":[49.1287,-123.7029],""PMLS:657"":[49.1287,-123.7029],""PMLS:865"":[49.1287,-123.7029],""PMLS:1302"":[49.03,-123.58667],""PMLS:1451"":[49.01667,-123.595],""PMLS:1787"":[49.03,-123.58667],""PMLS:2824"":[49.03,-123.58667],""PMLS:2945"":[49.01833,-123.59],""PMLS:3051"":[49.01833,-123.59],""PMLS:3908"":[49.03,-123.58667],""PMLS:3961"":[49.1287,-123.7029],""PMLS:4099"":[49.1287,-123.7029]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Hydractiniidae,,,Schuchertinia,Schuchertinia milleri,,PMLS,Josef Bay,1986-07-13T09:15:00.000Z,,PMLS,Vernaci Point,2009-04-07T09:37:00.000Z
,Schwenckfeldina,1010957,3,"{""RBCM:356"":[49.058056,-123.623889],""RBCM:357"":[49.058056,-123.623889],""RBCM:358"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,,Schwenckfeldina,,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z
,Sciara,248010,7,"{""RBCM:359"":[49.041111,-123.608056],""RBCM:360"":[49.041111,-123.608056],""RBCM:361"":[49.041111,-123.608056],""RBCM:362"":[49.041111,-123.608056],""RBCM:363"":[49.041111,-123.608056],""RBCM:364"":[49.058056,-123.623889],""RBCM:365"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,,Sciara,,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z
,Scirpus microcarpus,59068,6,"{""iNat:6910100"":[49.0409,-123.635894],""iNat:19386898"":[49.046883,-123.634065],""iNat:59625907"":[49.046058,-123.626389],""iNat:59625908"":[49.048786,-123.62545]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Scirpeae,Scirpus,Scirpus microcarpus,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,John D Reynolds,iNat,,2020-09-06T19:33:00.000Z
,Scleropodium touretii,67907,1,"{""ASIMON:32"":[49.0418,-123.643081]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Scleropodium,Scleropodium touretii,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z
,Scoletoma zonata,905634,2,,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,,Lumbrineridae,,,Scoletoma,Scoletoma zonata,,VIC,Valdes Island,2014-05-31T00:00:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Scorpaenichthys marmoratus,47638,16,"{""PMLS:27"":[49.040699,-123.644925],""PMLS:349"":[49.1287,-123.7029],""PMLS:450"":[49.1287,-123.7029],""PMLS:636"":[49.12667,-123.69167],""PMLS:1409"":[49.03,-123.58667],""PMLS:1971"":[49.03,-123.58667],""PMLS:2119"":[49.03,-123.58667],""PMLS:2346"":[49.03,-123.58667],""PMLS:2447"":[49.03,-123.58667],""PMLS:2667"":[49.03,-123.58667],""PMLS:2780"":[49.1287,-123.7029],""PMLS:2904"":[49.03,-123.58667],""PMLS:3023"":[49.01833,-123.59],""PMLS:3315"":[49.03,-123.58667],""PMLS:3473"":[49.03,-123.58667],""PMLS:3668"":[49.02333,-123.585]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Scorpaenichthys,Scorpaenichthys marmoratus,,PMLS,Shingle Point Reef,1968-08-02T12:00:00.000Z,,PMLS,Canoe Island Reef (Death Rock),2012-07-15T14:21:00.000Z
,Scutellaria lateriflora,79017,2,"{""iNat:9281640"":[49.050178,-123.620184]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Scutellarioideae,,Scutellaria,Scutellaria lateriflora,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2017-09-06T06:44:00.000Z
,Scymnus caurinus,320410,1,"{""RBCM:366"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Scymninae,Scymnini,Scymnus,Scymnus caurinus,Joel Gibson; Anabel Gibson,RBCM,Valdes Island,2017-06-23T00:00:00.000Z,Joel Gibson; Anabel Gibson,RBCM,Valdes Island,2017-06-23T00:00:00.000Z
,Scyra acutifrons,47712,37,"{""PMLS:206"":[49.1287,-123.7029],""PMLS:306"":[49.1287,-123.7029],""PMLS:408"":[49.1287,-123.7029],""PMLS:522"":[49.1287,-123.7029],""PMLS:602"":[49.12667,-123.69167],""PMLS:701"":[49.1287,-123.7029],""PMLS:791"":[49.1287,-123.7029],""PMLS:914"":[49.1287,-123.7029],""PMLS:1016"":[49.1287,-123.7029],""PMLS:1361"":[49.03,-123.58667],""PMLS:1499"":[49.01667,-123.595],""PMLS:1592"":[49.03,-123.58667],""PMLS:1715"":[49.1287,-123.7029],""PMLS:1813"":[49.03,-123.58667],""PMLS:1919"":[49.03,-123.58667],""PMLS:2019"":[49.03,-123.58667],""PMLS:2089"":[49.03,-123.58667],""PMLS:2215"":[49.01833,-123.59],""PMLS:2309"":[49.03,-123.58667],""PMLS:2410"":[49.03,-123.58667],""PMLS:2555"":[49.1287,-123.7029],""PMLS:2629"":[49.03,-123.58667],""PMLS:2751"":[49.1287,-123.7029],""PMLS:2863"":[49.03,-123.58667],""PMLS:2987"":[49.01833,-123.59],""PMLS:3094"":[49.01833,-123.59],""PMLS:3183"":[49.03,-123.58667],""PMLS:3270"":[49.03,-123.58667],""PMLS:3376"":[49.03,-123.58667],""PMLS:3449"":[49.03,-123.58667],""PMLS:3555"":[49.1287,-123.7029],""PMLS:3709"":[49.03,-123.58667],""PMLS:3817"":[49.1287,-123.7029],""PMLS:4000"":[49.1287,-123.7029],""PMLS:4060"":[49.03,-123.58667],""PMLS:4132"":[49.1287,-123.7029],""PMLS:4258"":[49.1287,-123.7029]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Epialtidae,Pisinae,,Scyra,Scyra acutifrons,,PMLS,Josef Bay,1986-07-13T09:15:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Scytinium palmatum,532308,1,"{""ASIMON:35"":[49.0418,-123.643081]}",Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Collemataceae,,,Scytinium,Scytinium palmatum,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z
,Sebastes auriculatus,117541,2,"{""PMLS:1533"":[49.01667,-123.595],""PMLS:3592"":[49.1287,-123.7029]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes auriculatus,,PMLS,South Vernaci Bay,2008-03-23T14:23:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Sebastes caurinus,68597,50,"{""PMLS:6"":[49.040699,-123.644925],""PMLS:22"":[49.040699,-123.644925],""PMLS:48"":[49.126005,-123.717882],""PMLS:61"":[49.040699,-123.644925],""PMLS:139"":[49.087832,-123.684704],""PMLS:238"":[49.1287,-123.7029],""PMLS:341"":[49.1287,-123.7029],""PMLS:443"":[49.1287,-123.7029],""PMLS:630"":[49.12667,-123.69167],""PMLS:733"":[49.1287,-123.7029],""PMLS:825"":[49.1287,-123.7029],""PMLS:952"":[49.1287,-123.7029],""PMLS:1041"":[49.1287,-123.7029],""PMLS:1105"":[49.055777,-123.657959],""PMLS:1238"":[49.04,-123.595],""PMLS:1398"":[49.03,-123.58667],""PMLS:1532"":[49.01667,-123.595],""PMLS:1621"":[49.03,-123.58667],""PMLS:1749"":[49.1287,-123.7029],""PMLS:1846"":[49.03,-123.58667],""PMLS:1961"":[49.03,-123.58667],""PMLS:2053"":[49.03,-123.58667],""PMLS:2110"":[49.03,-123.58667],""PMLS:2248"":[49.01833,-123.59],""PMLS:2337"":[49.03,-123.58667],""PMLS:2439"":[49.03,-123.58667],""PMLS:2482"":[49.03,-123.58667],""PMLS:2587"":[49.1287,-123.7029],""PMLS:2660"":[49.03,-123.58667],""PMLS:2775"":[49.1287,-123.7029],""PMLS:2897"":[49.03,-123.58667],""PMLS:3017"":[49.01833,-123.59],""PMLS:3113"":[49.01833,-123.59],""PMLS:3215"":[49.03,-123.58667],""PMLS:3303"":[49.03,-123.58667],""PMLS:3410"":[49.03,-123.58667],""PMLS:3466"":[49.03,-123.58667],""PMLS:3590"":[49.1287,-123.7029],""PMLS:3660"":[49.02333,-123.585],""PMLS:3744"":[49.03,-123.58667],""PMLS:3855"":[49.1287,-123.7029],""PMLS:3941"":[49.03,-123.58667],""PMLS:4025"":[49.1287,-123.7029],""PMLS:4076"":[49.03,-123.58667],""PMLS:4166"":[49.1287,-123.7029],""PMLS:4294"":[49.1287,-123.7029],""PMLS:4360"":[49.087832,-123.684704],""iNat:9281947"":[49.096451,-123.695254]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,,PMLS,Shingle Point Reef,1968-08-01T12:00:00.000Z,Andrew Simon,iNat,Valdes Island cliffs,2017-07-28T00:00:00.000Z
,Sebastes emphaeus,64468,15,"{""PMLS:1240"":[49.04,-123.595],""PMLS:1400"":[49.03,-123.58667],""PMLS:1623"":[49.03,-123.58667],""PMLS:1848"":[49.03,-123.58667],""PMLS:1963"":[49.03,-123.58667],""PMLS:2056"":[49.03,-123.58667],""PMLS:2112"":[49.03,-123.58667],""PMLS:2339"":[49.03,-123.58667],""PMLS:2441"":[49.03,-123.58667],""PMLS:2484"":[49.03,-123.58667],""PMLS:3217"":[49.03,-123.58667],""PMLS:3306"":[49.03,-123.58667],""PMLS:3412"":[49.03,-123.58667],""PMLS:3662"":[49.02333,-123.585],""PMLS:3747"":[49.03,-123.58667]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes emphaeus,,PMLS,Noel Bay Reefs,2006-12-17T11:12:00.000Z,,PMLS,wreck of the Del Norte,2012-08-06T12:04:00.000Z
,Sebastes flavidus,64477,3,"{""PMLS:64"":[49.040699,-123.644925],""PMLS:141"":[49.087832,-123.684704],""iNat:86364284"":[49.032154,-123.599893]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes flavidus,,PMLS,Shingle Point Reef,1973-08-15T10:30:00.000Z,,iNat,Valdes Island cliffs,2021-07-10T03:38:24.000Z
,Sebastes maliger,63386,46,"{""PMLS:7"":[49.040699,-123.644925],""PMLS:23"":[49.040699,-123.644925],""PMLS:49"":[49.126005,-123.717882],""PMLS:62"":[49.040699,-123.644925],""PMLS:140"":[49.087832,-123.684704],""PMLS:239"":[49.1287,-123.7029],""PMLS:342"":[49.1287,-123.7029],""PMLS:444"":[49.1287,-123.7029],""PMLS:631"":[49.12667,-123.69167],""PMLS:734"":[49.1287,-123.7029],""PMLS:826"":[49.1287,-123.7029],""PMLS:953"":[49.1287,-123.7029],""PMLS:1042"":[49.1287,-123.7029],""PMLS:1106"":[49.055777,-123.657959],""PMLS:1239"":[49.04,-123.595],""PMLS:1399"":[49.03,-123.58667],""PMLS:1622"":[49.03,-123.58667],""PMLS:1750"":[49.1287,-123.7029],""PMLS:1847"":[49.03,-123.58667],""PMLS:1962"":[49.03,-123.58667],""PMLS:2054"":[49.03,-123.58667],""PMLS:2111"":[49.03,-123.58667],""PMLS:2128"":[49.03,-123.58667],""PMLS:2249"":[49.01833,-123.59],""PMLS:2338"":[49.03,-123.58667],""PMLS:2440"":[49.03,-123.58667],""PMLS:2483"":[49.03,-123.58667],""PMLS:2588"":[49.1287,-123.7029],""PMLS:2661"":[49.03,-123.58667],""PMLS:2898"":[49.03,-123.58667],""PMLS:3018"":[49.01833,-123.59],""PMLS:3114"":[49.01833,-123.59],""PMLS:3216"":[49.03,-123.58667],""PMLS:3304"":[49.03,-123.58667],""PMLS:3411"":[49.03,-123.58667],""PMLS:3467"":[49.03,-123.58667],""PMLS:3591"":[49.1287,-123.7029],""PMLS:3661"":[49.02333,-123.585],""PMLS:3745"":[49.03,-123.58667],""PMLS:3856"":[49.1287,-123.7029],""PMLS:3942"":[49.03,-123.58667],""PMLS:4026"":[49.1287,-123.7029],""PMLS:4077"":[49.03,-123.58667],""PMLS:4167"":[49.1287,-123.7029],""PMLS:4295"":[49.1287,-123.7029],""iNat:68460123"":[49.113966,-123.711657]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,,PMLS,Shingle Point Reef,1968-08-01T12:00:00.000Z,Dave West,iNat,Josef Point,2021-01-22T11:26:45.000Z
,Sebastes melanops,47760,8,"{""PMLS:63"":[49.040699,-123.644925],""PMLS:2055"":[49.03,-123.58667],""PMLS:2589"":[49.1287,-123.7029],""PMLS:3305"":[49.03,-123.58667],""PMLS:3468"":[49.03,-123.58667],""PMLS:3593"":[49.1287,-123.7029],""PMLS:3746"":[49.03,-123.58667],""PMLS:3943"":[49.03,-123.58667]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes melanops,,PMLS,Shingle Point Reef,1973-08-15T10:30:00.000Z,,PMLS,wreck of the Del Norte,2012-08-06T12:04:00.000Z
