Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Pisaster brevispinus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,giant pink star
Dermasterias imbricata,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,leather star
Mesocentrotus franciscanus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,red sea urchin
Strongylocentrotus droebachiensis,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,abundant,open,55,45,green sea urchin
Apostichopus californicus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,giant sea cucumber
Cucumaria miniata,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,red sea cucumber
Ascidia paratropa,2019-05-04T09:45:00,Andy - do you think this is correct or maybe Ciona?,Campbell Bay,48.85833,-123.26833,few,open,55,45,glassy tunicate
Cnemidocarpa finmarkiensis,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,broadbase tunicate
Rhinogobiops nicholsii,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,blackeye goby
Ronquilus jordani,2019-05-04T09:45:00,questioning the abundance on this one Andy,Campbell Bay,48.85833,-123.26833,very many,open,55,45,northern ronquil
