iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Alchemilla australis,1363874,Amsinckia retrorsa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,australis,saanich,"A&OC Oak Bay; Gonzales Hill; Harling Point: Harling Point, golf course 1974. MCM Humber Road 1954. Hardy Oak Bay Golf Course 1949. Eastham Cadboro bay 1938. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.",,,,COMP-Saanich:66
Alchemilla arvensis,866483,Amsinckia spectabilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,arvensis,saanich,"Open, flat, and disturbed soil; rare or overlooked; the only records came from the Sidney area, where it was collected by J. Macoun in 1913 and the Uplands district by M. C. Melburn in 1953 and 1964. Records of A. menziesii and A. spectabilis should be verified.",,,,COMP-Saanich:67
Aphyllon californicum californicum,802465,Anaphalis margaritacea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Aphyllon,californicum,saanich,Open woods and roadbanks; common throughout.,,,,COMP-Saanich:68
Aphyllon purpureum,739040,Anchusa officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Aphyllon,purpureum,saanich,Native of Europe; along roadsides; occasionally found as a weed in North Saanich and Brentwood.,,,,COMP-Saanich:69
Apocynum androsaemifolium,47359,Anemone lyallii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Apocynoideae,Apocyneae,Apocynum,androsaemifolium,saanich,"Woods, thickets, and open parkland; abundant in the past; becoming rare; Beacon Hill, Saanich, and Goldstream. Davidson Esquimalt 1912.",,,,COMP-Saanich:70
Aquilegia formosa,48244,Anethum graveolens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Thalictroideae,,Aquilegia,formosa,saanich,Marr Colwood: Coburg Peninsula; Esquimalt Lagoon; S end of Lagoon Road on the ocean side. 2007. Established?,,,,COMP-Saanich:71
Aquilegia vulgaris,1042772,Angelica genuflexa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Thalictroideae,,Aquilegia,vulgaris,saanich,"Moist places; sporadic; Cordova Bay, Gordon Head, Elk Lake, and Goldstream.",,,,COMP-Saanich:72
Arabidopsis thaliana,55021,Anisocarpus madioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Camelineae,Arabidopsis,thaliana,saanich,"Open woods, sporadic in Brentwood, Goldstream Chatham Islands and Highlands.",,,AS,COMP-Saanich:73
Arabis caucasica,158480,Antennaria anaphaloides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Arabis,caucasica,saanich,Grassy foothills; rare; Highland district. No vouchers located.,,,,COMP-Saanich:74
Arabis eschscholtziana,75494,Antennaria dimorpha,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Arabis,eschscholtziana,saanich,Krajina & Spilsbury Mt. Douglas 1950.,,,,COMP-Saanich:75
