iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Bromus tectorum,58369,Bromus tectorum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,tectorum,ssi,"Roadsides, banks, and waste places.",,,,COMP-SaltSpring:97
Bromus vulgaris,75915,Bromus vulgaris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,vulgaris,ssi,"Open woodland, trails.",,,,COMP-SaltSpring:98
Buddleja davidii,75916,Buddleja davidii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Buddlejeae,Buddleja,davidii,ssi,HJ Fulford 1979,,,,COMP-SaltSpring:99
Cakile maritima,60982,Cakile maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Cakile,maritima,ssi,Bennet Walker's Hook 2017.,,,,COMP-SaltSpring:100
Calamagrostis canadensis,75925,Calamagrostis canadensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Calamagrostis,canadensis,ssi,Var. langsdorfii HJ Bruce Peak,,,,COMP-SaltSpring:101
Calandrinia ciliata,489239,Calandrinia ciliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Calandrinia,ciliata,ssi,"Grassy, south facing bulffs, shorline ridges.",,,,COMP-SaltSpring:102
Callitriche heterophylla bolanderi,60158,Callitriche heterophylla var. bolanderi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Callitricheae,Callitriche,heterophylla,ssi,"TRA Mitchel Lake, Cusheon Lake1957.",,,,COMP-SaltSpring:103
Callitriche palustris,75937,Callitriche palustris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Callitricheae,Callitriche,palustris,ssi,TRA Mitchell Lake date?- no voucher at Uvic,,,,COMP-SaltSpring:104
Calypso bulbosa occidentalis,57724,Calypso bulbosa var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Calypsoeae,Calypso,bulbosa,ssi,"Mossy spots, shaded mature forest.",,,,COMP-SaltSpring:105
Calystegia sepium,57481,Calystegia sepium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Calystegia,sepium,ssi,"Moist soils, along roads, ditches, hedgerows and waste places.",,,,COMP-SaltSpring:106
Camassia leichtlinii suksdorfii,79659,Camassia leichtlinii ssp. suksdorfii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,leichtlinii,ssi,"South facing bluffs, shelves isolated from grazing.",,,,COMP-SaltSpring:107
Camassia quamash maxima,234790,Camassia quamash ssp. maxima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,quamash,ssi,Rare; occuring with C. leichtlinii.,,,,COMP-SaltSpring:108
Campanula medium,159761,Campanula medium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Campanuloideae,,Campanula,medium,ssi,Cultivated Bellflowers not reported for Saltspring.,,,,COMP-SaltSpring:109
Campanula scouleri,75991,Campanula scouleri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Campanuloideae,,Campanula,scouleri,ssi,"Open forest, ridgelines.",,,,COMP-SaltSpring:110
Canadanthus modestus,159806,Canadanthus modestus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Canadanthus,modestus,ssi,ICS Location? GD confirms id.,,,,COMP-SaltSpring:111
Capsella bursa-pastoris,56121,Capsella bursa-pastoris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Camelineae,Capsella,bursa-pastoris,ssi,"Roadsides, cultivated ground.",,,,COMP-SaltSpring:112
Cardamine nuttallii,76002,Cardamine nuttallii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,nuttallii,ssi,"Grassy ridges, open woodland.",,,,COMP-SaltSpring:113
Cardamine occulta,545305,Cardamine occulta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,occulta,ssi,Dunnison iNaturalist observation Blackburn Rd 2020.,,,,COMP-SaltSpring:114
Cardamine oligosperma,52981,Cardamine oligosperma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,oligosperma,ssi,"Cultivated ground, waste ground.",,,,COMP-SaltSpring:115
Cardamine pensylvanica,76005,Cardamine pensylvanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,pensylvanica,ssi,"Wet to swampy ground, creeks.",,,,COMP-SaltSpring:116
Carex aquatilis dives,80511,Carex aquatilis var. dives,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aquatilis,ssi,HJ Mt Bruce boggy lake edges. Weston Lake TRA 1955.,,,,COMP-SaltSpring:117
Carex arcta,76014,Carex arcta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,arcta,ssi,Sedge fens and bogs throughout.,,,,COMP-SaltSpring:118
Carex aurea,76017,Carex aurea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aurea,ssi,"Wet, sedgey meadows.",,,,COMP-SaltSpring:119
Carex canescens canescens,79673,Carex canescens ssp. canescens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,canescens,ssi,Lake shores and floating vegetation mats,,,,COMP-SaltSpring:120
Carex cusickii,76028,Carex cusickii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,cusickii,ssi,"St. Mary's Lake, shoreline fens.ICS Maxwell Rd 1975",,,,COMP-SaltSpring:121
Carex deweyana,143684,Carex deweyana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,deweyana,ssi,Common moist woodland. =Carex leptopoda? See Wilson et al. (2008),,,,COMP-SaltSpring:122
Carex echinata,76035,Carex echinata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,echinata,ssi,"Sedge fens, TRA Weston Lake 1955.",,,,COMP-SaltSpring:123
Carex exsiccata,76036,Carex exsiccata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,exsiccata,ssi,Sedge fens and lake margins.,,"""C. vesicaria not = C. exsiccata – edited to exsiccata relatively widespread, C. vesicaria relatively less common."" HJ",,COMP-SaltSpring:124
Carex feta,76037,Carex feta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,feta,ssi,"Beaver Point, TRA 1957,Blackburn Lake, Sedgy hay field, Burgoyne Bay. FL wet field north of Vesuvius 2010.",,,,COMP-SaltSpring:125
Carex flava,1264456,Carex flava,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,flava,ssi,Maxwell Lake TRA,,,,COMP-SaltSpring:126
Carex hassei,76045,Carex hassei,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hassei,ssi,TRA Cusheon Lake 1957.,,,,COMP-SaltSpring:127
Carex hendersonii,76048,Carex hendersonii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hendersonii,ssi,Moist Alder-Sword Fern woodlands.,,,,COMP-SaltSpring:128
Carex hoodii,76051,Carex hoodii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hoodii,ssi,"FL Mount Maxwell, west slope near north edge of ecological reserve, wet area at wide flat ledge on Garry oak slope with Carex inops, weedy grasses 1999.",,,,COMP-SaltSpring:129
Carex inops inops,79677,Carex inops ssp. inops,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,inops,ssi,"Open, south facing bluffs, grassy slopes.",,,,COMP-SaltSpring:130
Carex interior,76058,Carex interior,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,interior,ssi,C. Clement collection location?,,,,COMP-SaltSpring:131
Carex kelloggii impressa,1091403,Carex kelloggii var. impressa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,kelloggii,ssi,Wet meadows and bogs SSI location?,,,,COMP-SaltSpring:132
Carex kelloggii limnophila,1091402,Carex kelloggii var. limnophila,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,kelloggii,ssi,Lowland sedge fens.,,,,COMP-SaltSpring:133
Carex leporina,76067,Carex leporina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leporina,ssi,Moist meadows and fields; TRA Roberts Lake.,,,,COMP-SaltSpring:134
Carex leptopoda,76070,Carex leptopoda,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leptopoda,ssi,TRA Isabella Point 1956.,,,,COMP-SaltSpring:135
Carex macloviana,160005,Carex macloviana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,macloviana,ssi,1971 R.D. Bird overgrazed sheep pasture Mt Bruce area and Isabella Point.,,"""I would delete these until confirmed. They are all doubtful to me: C. macloviana (northern species and in alpine in extreme SC BC - not the same as C. pachystachya)."" FL ""Will recheck all macloviana vouchers for Saanich at V."" HJ",,COMP-SaltSpring:137
Carex obnupta,61000,Carex obnupta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,obnupta,ssi,"Sedge fens, common throughout.",,,,COMP-SaltSpring:138
Carex pachystachya,76089,Carex pachystachya,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pachystachya,ssi,"Meadows, farm fields, moist forest.",,"""Note on original Saanich Pen C. festivella entry, all now C.p."" HJ",,COMP-SaltSpring:139
Carex pellita,76091,Carex pellita,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pellita,ssi,Reported from Maxwell Lake and Mt Bruce. Vouchers?,,,,COMP-SaltSpring:140
Carex praticola,76095,Carex praticola,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,praticola,ssi,"TRA collection 1955, Ganges. Confirmed RTO.",,,,COMP-SaltSpring:141
Carex stipata,76114,Carex stipata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,stipata,ssi,ICS location? Dunnison Duck Creek Park iNaturalist observation 2021.,,,,COMP-SaltSpring:142
Carex sylvatica,69640,Carex sylvatica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,sylvatica,ssi,"FL Meadows, roadside ditches Ruckle Park 2002.",,,,COMP-SaltSpring:143
Carex unilateralis,76123,Carex unilateralis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,unilateralis,ssi,HJ Bullock's Lake.,,,,COMP-SaltSpring:144
Carex utriculata,76124,Carex utriculata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,utriculata,ssi,"Sedge fens, common.",,,,COMP-SaltSpring:145
Carex viridula,76128,Carex viridula,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,flava,ssi,"TRA Weston lake, Stewart Lake, Lakes on Mt Bruce.",,,,COMP-SaltSpring:146
Carex zikae,494316,Carex zikae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,zikae,ssi,"FL Mt Erskine 2002, RDB 1967.",,,,COMP-SaltSpring:147
Carum carvi,160162,Carum carvi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Careae,Carum,carvi,ssi,TRA Beaver Point,,,,COMP-SaltSpring:148
Castilleja attenuata,49341,Castilleja attenuata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Pedicularideae,Castilleja,attenuata,ssi,"Open, grassy bluffs.",,,,COMP-SaltSpring:149
Castilleja hispida,128204,Castilleja hispida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Pedicularideae,Castilleja,hispida,ssi,Grassy bluffs and ledges.,,,,COMP-SaltSpring:150
Castilleja miniata dixonii,234941,Castilleja miniata var. dixonii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Pedicularideae,Castilleja,miniata,ssi,"TRA claim from Brackman Island, no voucher found.",,,,COMP-SaltSpring:151
Castilleja victoriae,160227,Castilleja victoriae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Pedicularideae,Castilleja,victoriae,ssi,Newcombe Mt Tuam 1923.,,,,COMP-SaltSpring:152
Ceanothus sanguineus,76197,Ceanothus sanguineus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rhamnaceae,,,Ceanothus,sanguineus,ssi,HJ Mt Erskine 1980.,,,,COMP-SaltSpring:153
Centaurea melitensis,57922,Centaurea melitensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Centaurea,melitensis,ssi,DL Thompson iNaturalist Baker Road 2013.,,,,COMP-SaltSpring:154
Centaurium erythraea,56236,Centaurium erythraea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Chironieae,Centaurium,erythraea,ssi,"Farm fields, meadows.",,,,COMP-SaltSpring:155
Centranthus ruber,57283,Centranthus ruber,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Valerianoideae,,Centranthus,ruber,ssi,Long Harbour Rd 2019 iNaturalist report.,,,,COMP-SaltSpring:156
Cephalanthera austiniae,50706,Cephalanthera austiniae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Neottieae,Cephalanthera,austiniae,ssi,"Mt Tuam, Musgrave landing Donovan and Chytyk",,,,COMP-SaltSpring:157
Cerastium arvense strictum,50847,Cerastium arvense ssp. strictum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,arvense,ssi,Grassy bluffs; rocky hillsides and dry to moist grassland.,,,,COMP-SaltSpring:158
Cerastium brachypodum,160333,Cerastium brachypodum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Alsineae,Cerastium,brachypodum,ssi,TRA Beaver Point,,,,COMP-SaltSpring:159
Cerastium holosteoides,1005385,Cerastium fontanum ssp. vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Alsineae,Cerastium,holosteoides,ssi,Lawns and gardens; weedy and common throughout.,,,,COMP-SaltSpring:160
Cerastium glomeratum,52973,Cerastium glomeratum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,glomeratum,ssi,"Disturbed ground, fields and waste places throughout.",,,,COMP-SaltSpring:161
Ceratophyllum demersum,60997,Ceratophyllum demersum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ceratophyllales,,,,Ceratophyllaceae,,,Ceratophyllum,demersum,ssi,"TRA Cusheon Lake, Warrington Bullocks Lake, Ford Lake",,,,COMP-SaltSpring:162
Ceratophyllum echinatum,160354,Ceratophyllum echinatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ceratophyllales,,,,Ceratophyllaceae,,,Ceratophyllum,echinatum,ssi,"Warrington Ford Lake, Bullocks Lake 1978.",,,,COMP-SaltSpring:163
Chamaenerion angustifolium,564969,Chamaenerion angustifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Chamaenerion,angustifolium,ssi,"Disturbed ground, burns",,,,COMP-SaltSpring:164
Chenopodium album,58127,Chenopodium album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,album,ssi,Garden and waste places.,,,,COMP-SaltSpring:165
Chimaphila umbellata umbellata,316609,Chimaphila umbellata ssp. umbellata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Chimaphila,umbellata,ssi,Open or dense coniferous forest.,,,,COMP-SaltSpring:166
Scilla luciliae,244100,Chionodoxa luciliae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,,Scilla,luciliae,ssi,Not officially reported for area but persisting from cultivation.,not in FPNW2,,,COMP-SaltSpring:167
Cichorium intybus,52913,Cichorium intybus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Cichorium,intybus,ssi,"Roadsides, farm fields, meadows.",,,,COMP-SaltSpring:168
Cicuta douglasii,76338,Cicuta douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Cicuta,douglasii,ssi,"HJ Cusheon Lake, TRA Ganges, Stowell Lake",,,,COMP-SaltSpring:169
Cinna latifolia,76340,Cinna latifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Cinna,latifolia,ssi,Ruckle Park Ray July 1976,,,,COMP-SaltSpring:170
Circaea alpina pacifica,79729,Circaea alpina ssp. pacifica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Circaea,alpina,ssi,"Cool, damp woods.",,,,COMP-SaltSpring:171
Cirsium arvense,60132,Cirsium arvense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,arvense,ssi,"Roadsides, disturbed ground, fields.",,,,COMP-SaltSpring:172
Cirsium brevistylum,52993,Cirsium brevistylum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,brevistylum,ssi,"Roadsides, disturbed ground, fields.",,,,COMP-SaltSpring:173
Cirsium palustre,160623,Cirsium palustre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,palustre,ssi,TRA Ganges 1956. Listed by the Invasive Species Council of BC.,,,,COMP-SaltSpring:174
Cirsium vulgare,52989,Cirsium vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,vulgare,ssi,"Disturbed ground, fields and roadside.",,,,COMP-SaltSpring:175
Clarkia amoena,61048,Clarkia amoena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Clarkia,amoena,ssi,Grassy bluffs.,,,,COMP-SaltSpring:176
Claytonia exigua exigua,57234,Claytonia exigua ssp. exigua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,exigua,ssi,"Dry, shady sandy ground. RDB summit of Mt Belcher.",,,,COMP-SaltSpring:177
Claytonia parviflora,58294,Claytonia parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,parviflora,ssi,TRA Beaver Point 1957.,,,,COMP-SaltSpring:178
Claytonia perfoliata,52994,Claytonia perfoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,perfoliata,ssi,"Open to shady, moist ground,; forming pure stands on slightly disturbed ground.",,,,COMP-SaltSpring:179
Claytonia rubra,64184,Claytonia rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,rubra,ssi,TRA Ganges 1955. HLR Mt Maxwell 1985.,,,,COMP-SaltSpring:180
Claytonia sibirica,55767,Claytonia sibirica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,sibirica,ssi,Moist woods and thickets.,,,,COMP-SaltSpring:181
Clematis vitalba,160697,Clematis vitalba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Anemoneae,Clematis,vitalba,ssi,"RDB Beaver Point 1971, King Isabella Point 1958. TRA Fulford, Ganges.",,,,COMP-SaltSpring:182
Clinopodium douglasii,53203,Clinopodium douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Clinopodium,douglasii,ssi,"Dry, open woods throughout the area.",,,,COMP-SaltSpring:183
Collinsia grandiflora,76409,Collinsia grandiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Cheloneae,Collinsia,grandiflora,ssi,"Open, grassy bluffs.",,,,COMP-SaltSpring:184
Collinsia parviflora,59013,Collinsia parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Cheloneae,Collinsia,parviflora,ssi,"Open, grassy bluffs.",,,,COMP-SaltSpring:185
Collomia grandiflora,61871,Collomia grandiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Collomia,grandiflora,ssi,TRA Beaver Point 1957. ICS Blackburn Lake; Fulford: area of lake; Ganges Road 1979.,,,,COMP-SaltSpring:186
Collomia heterophylla,52996,Collomia heterophylla,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Collomia,heterophylla,ssi,"Open ground, dirt roads.",,,,COMP-SaltSpring:187
Comarum palustre,62213,Comarum palustre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Comarum,palustre,ssi,"Lake margins, Bogs. TRA St Marys Lake 1955, HJ Mt Bruce 1979.",,,,COMP-SaltSpring:188
Conioselinum gmelinii,160830,Conioselinum pacificum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,,Conioselinum,gmelinii,ssi,Beaches and sandy shorelines.,,,,COMP-SaltSpring:189
Conium maculatum,52998,Conium maculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Smyrnieae,Conium,maculatum,ssi,location? Collector?,,,,COMP-SaltSpring:190
Convolvulus arvensis,53021,Convolvulus arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Convolvulus,arvensis,ssi,Fields and disturbed ground.,,,,COMP-SaltSpring:191
Erigeron canadensis,76907,Conyza canadensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Erigeron,canadensis,ssi,"Waste places and disturbed soil, farm yards.",,,,COMP-SaltSpring:192
Corallorhiza maculata occidentalis,80615,Corallorhiza maculata var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,maculata,ssi,Moist or dry coniferous forest throughout. Several collections of var. ozettensis for island.,,,,COMP-SaltSpring:193
Corallorhiza maculata ozettensis,452199,Corallorhiza maculata var. ozettensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,maculata,ssi,"St Marys Lake McEwen 2016, Blackburn Lake McEwen 2014. Mt Tuam ER McEwen 2016.",,,,COMP-SaltSpring:194
Cornus nuttallii,76447,Cornus nuttallii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Cornaceae,,,Cornus,nuttallii,ssi,Mesic forest.,,,,COMP-SaltSpring:195
Cornus sericea occidentalis,53366,Cornus occidentalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Cornaceae,,,Cornus,sericea,ssi,Harrington Rainbow Beach 1950.,,,,COMP-SaltSpring:196
Cornus sericea,53387,Cornus stolonifera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Cornaceae,,,Cornus,sericea,ssi,"Moist places along streams, lakes and boggy areas.",,,,COMP-SaltSpring:197
Corylus cornuta californica,53368,Corylus cornuta ssp. californica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Corylus,cornuta,ssi,"TRA Ganges, Beaver Point 1957, Ganges 1958.",,,,COMP-SaltSpring:198
Cotula coronopifolia,58812,Cotula coronopifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Cotula,coronopifolia,ssi,HJ Fulford Harbour 1979.,,,,COMP-SaltSpring:199
Crassula tillaea,58883,Crassula tillaea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Crassuloideae,,Crassula,tillaea,ssi,FL Beaver Point 2002.,,,,COMP-SaltSpring:200
