Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Asteraceae,Logfia minima (Sm.) Dumort.*,,Open,2,,,,,,Logfia minima,(Sm.) Dumort.*
Asteraceae,Madia exigua (Sm.) A. Gray,,Open,4,,,,,,Madia exigua,(Sm.) A. Gray
Asteraceae,Madia glomerata Hook.,,Open,1,,,,,,Madia glomerata,Hook.
Asteraceae,Madia gracilis (Sm.) D.D. Keck,,Open,9,,,,,,Madia gracilis,(Sm.) D.D. Keck
Asteraceae,Madia sativa Molina,,Open,5,,,,,,Madia sativa,Molina
Asteraceae,Matricaria discoidea DC.,,Open,6,,,,,,Matricaria discoidea,DC.
Asteraceae,Mauranthemum paludosum (Poir.) Vogt & Oberpr.*,,Open,1,,,,,,Mauranthemum paludosum,(Poir.) Vogt & Oberpr.*
Asteraceae,Microseris bigelovii (A. Gray) Sch. Bip.,,Open,2,,,,,,Microseris bigelovii,(A. Gray) Sch. Bip.
Asteraceae,Mycelis muralis (L.) Dumort.*,,Forest,28,,,,,,Mycelis muralis,(L.) Dumort.*
Asteraceae,Packera indecora (Greene) Á. Löve & D. Löve,,Open,1,,,,,,Packera indecora,(Greene) Á. Löve & D. Löve
Asteraceae,Packera macounii (Greene) W.A. Weber & Á. Löve,,Open,4,,,,,,Packera macounii,(Greene) W.A. Weber & Á. Löve
Asteraceae,Petasites frigidus (L.) Fr.,var. palmatus,Wetland,1,,,,,,Petasites frigidus,(L.) Fr.
Asteraceae,Pseudognaphalium stramineum (Kunth) Anderb.,,Open,6,,,,,,Pseudognaphalium stramineum,(Kunth) Anderb.
Asteraceae,Pseudognaphalium thermale (E.E. Nelson) G.L. Nesom,,Open,6,,,,,,Pseudognaphalium thermale,(E.E. Nelson) G.L. Nesom
Asteraceae,Psilocarphus tenellus Nutt.,,Open,1,,,,,,Psilocarphus tenellus,Nutt.
Asteraceae,Senecio sylvaticus L.*,,Open,12,,,,,,Senecio sylvaticus,L.*
Asteraceae,Senecio vulgaris L.*,,Open,60,,,,,,Senecio vulgaris,L.*
Asteraceae,Sericocarpus rigidus Lindl.,,Open,1,,,,,,Sericocarpus rigidus,Lindl.
Asteraceae,Solidago elongata Nutt.,,Open,2,,,,,,Solidago elongata,Nutt.
Asteraceae,Solidago lepida DC.,var. salebrosa,Open,12,,,,,,Solidago lepida,DC.
Asteraceae,Solidago simplex Kunth,"var. nana, var. simplex",Open,2,,,,,,Solidago simplex,Kunth
Asteraceae,Soliva sessilis Ruiz & Pav.*,,Open,12,,,,,,Soliva sessilis,Ruiz & Pav.*
Asteraceae,Sonchus arvensis L.*,ssp. arvensis,Open,16,,,,,,Sonchus arvensis,L.*
Asteraceae,Sonchus asper (L.) Hill*,ssp. asper,Open,71,,,,,,Sonchus asper,(L.) Hill*
Asteraceae,Sonchus oleraceus L.*,,Open,102,,,,,,Sonchus oleraceus,L.*
Asteraceae,Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve,,Wetland,1,,,,,,Symphyotrichum boreale,(Torr. & A. Gray) Á. Löve & D. Löve
Asteraceae,Symphyotrichum subspicatum (Nees) G.L. Nesom,,Open,6,,,,,,Symphyotrichum subspicatum,(Nees) G.L. Nesom
Asteraceae,Tanacetum balsamita L.*,,Open,1,,,,,,Tanacetum balsamita,L.*
Asteraceae,Tanacetum parthenium (L.) Sch. Bip.*,,Open,2,,,,,,Tanacetum parthenium,(L.) Sch. Bip.*
Asteraceae,Tanacetum vulgare L.*,,Open,3,,,,,,Tanacetum vulgare,L.*
Asteraceae,Taraxacum erythrospermum Andrz. ex Besser*,,Open,14,,,,,,Taraxacum erythrospermum,Andrz. ex Besser*
Asteraceae,Taraxacum officinale F.H. Wigg.*,,Open,68,,,,,,Taraxacum officinale,F.H. Wigg.*
Asteraceae,Tragopogon dubius Scop.*,,Open,4,,,,,,Tragopogon dubius,Scop.*
Asteraceae,Tragopogon porrifolius L.*,,Open,4,,,,,,Tragopogon porrifolius,L.*
Asteraceae,Tragopogon pratensis L.*,,Open,1,,,,,,Tragopogon pratensis,L.*
Asteraceae,Tripleurospermum inodorum (L.) Sch. Bip.*,,Open,4,,,,,,Tripleurospermum inodorum,(L.) Sch. Bip.*
Athyriaceae,Athyrium filix-femina (L.) Roth ex Mertens,ssp. cyclosorum,Forest,19,,,,,,Athyrium filix-femina,(L.) Roth ex Mertens
Berberidaceae,Berberis aquifolium (Pursh) Nutt.,,Open,87,,,,,,Berberis aquifolium,(Pursh) Nutt.
Berberidaceae,Berberis nervosa (Pursh) Nutt.,,Forest,20,,,,,,Berberis nervosa,(Pursh) Nutt.
Betulaceae,Alnus rubra Bong.,,Forest,18,,,,,,Alnus rubra,Bong.
Betulaceae,Alnus viridis (Chaix) DC.,ssp. sinuata,Forest,8,,,,,,Alnus viridis,(Chaix) DC.
Betulaceae,Betula papyrifera Marshall,,Forest,5,,,,,,Betula papyrifera,Marshall
Betulaceae,Betula pendula Roth*,,Forest,1,,,,,,Betula pendula,Roth*
Betulaceae,Corylus cornuta Marshall,ssp. californica,Forest,3,,,,,,Corylus cornuta,Marshall
Blechnaceae,Struthiopteris spicant (L.) Weiss,,Forest,5,,,,,,Struthiopteris spicant,(L.) Weiss
Boraginaceae,Amsinckia intermedia Fisch. & C.A. Mey.,,Open,3,,,,,,Amsinckia intermedia,Fisch. & C.A. Mey.
Boraginaceae,Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.,,Open,12,,,,,,Amsinckia menziesii,(Lehm.) A. Nelson & J.F. Macbr.
Boraginaceae,Amsinckia spectabilis Fisch. & C.A. Mey.,var. spectabilis,Open,5,,,,,,Amsinckia spectabilis,Fisch. & C.A. Mey.
