ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
650,04/06/20,48.9,-123.3265,humpback whale,Megaptera novaeangliae,-,probable,a89063ce-c404-4f76-9303-b81ec52d59df
658,05/04/20,48.895,-123.303,humpback whale,Megaptera novaeangliae,-,probable,1807d759-c9e8-4b27-a376-7acc9300be24
659,05/04/20,48.8847,-123.2922,humpback whale,Megaptera novaeangliae,-,certain,59c8edb5-0e94-45b0-a226-268a16b09a3d
660,05/18/20,48.8799,-123.2903,humpback whale,Megaptera novaeangliae,-,certain,a63087f5-793a-4681-bccc-32da959a4aae
661,08/04/19,48.8993,-123.3023,humpback whale,Megaptera novaeangliae,3,certain,3eaae898-27b2-4366-8116-0b422fbf94f4
662,08/02/19,48.8468,-123.3466,humpback whale,Megaptera novaeangliae,3,certain,18ca67a2-7f7a-4d1e-a131-f71a29be173f
663,07/31/19,48.8484,-123.3413,humpback whale,Megaptera novaeangliae,1,certain,43e9c378-e5c8-4686-a1eb-d5a7578afddd
665,07/25/19,48.8436,-123.3544,humpback whale,Megaptera novaeangliae,2,certain,10297372-2BDD-4365-B96A-A591945FC5AC
666,07/19/19,48.8705,-123.3062,humpback whale,Megaptera novaeangliae,2,certain,8DFA5293-FB1C-433C-ACEF-BFAB80DEA8FA
670,07/13/19,49.0072,-123.5092,humpback whale,Megaptera novaeangliae,2,certain,C279A958-9081-49E3-A39C-FB653311FB2B
672,07/09/19,48.8902,-123.2984,humpback whale,Megaptera novaeangliae,2,certain,EC454CA5-0013-4A1D-A657-6BAC4E53A8C7
684,05/31/19,48.8468,-123.3466,humpback whale,Megaptera novaeangliae,1,certain,be5a4d11-63b8-4002-b47e-e5761d7be7f2
686,05/26/19,48.9016,-123.2893,humpback whale,Megaptera novaeangliae,1,certain,92d9f584-73e2-44a0-920e-31a2a2650d34
719,12/08/18,48.8655,-123.3072,humpback whale,Megaptera novaeangliae,1,certain,5fe367cb-aaf2-4e1f-a6e6-74098e215aba
720,12/08/18,48.8683,-123.3035,humpback whale,Megaptera novaeangliae,1,certain,79a03267-7717-4af2-8d12-99080bd9379f
722,12/06/18,48.8632,-123.3404,humpback whale,Megaptera novaeangliae,1,probable,a0109b2a-adcf-4194-b3a5-d7d22617b613
723,12/01/18,48.8376,-123.3454,humpback whale,Megaptera novaeangliae,1,certain,bc07472d-9be8-48a3-aad8-354108a56956
728,10/21/18,48.8577,-123.3248,humpback whale,Megaptera novaeangliae,1,certain,AC160F28-F537-4E5B-8127-055C90C2CDC2
729,10/21/18,48.8573,-123.3069,humpback whale,Megaptera novaeangliae,2,certain,5C6ACAE9-B291-493A-B3A3-4113DFE9B21A
735,09/13/18,48.8572,-123.3249,humpback whale,Megaptera novaeangliae,1,certain,1A564A82-8BF2-46C4-B681-C73871335B77
739,09/03/18,48.8548,-123.304,humpback whale,Megaptera novaeangliae,1,certain,8B00A0A2-0DD6-45F0-A7B1-3B63EC81F135
740,09/03/18,48.8701,-123.3063,humpback whale,Megaptera novaeangliae,1,certain,5DB77D46-09BB-449E-97F4-A198E8D4EDB3
741,09/03/18,48.8656,-123.3062,humpback whale,Megaptera novaeangliae,1,certain,8C8978DF-F68F-418D-BE3A-561D2DF05FB2
758,07/23/18,48.9865,-123.5781,humpback whale,Megaptera novaeangliae,1,probable,D4A7BA40-E627-408A-B849-8BFEA7060884
761,07/17/18,48.9858,-123.5779,humpback whale,Megaptera novaeangliae,2,certain,53475461-B3C7-43AD-BDCC-B2AB4BFF97F2
762,07/13/18,48.8565,-123.3047,humpback whale,Megaptera novaeangliae,1,certain,09946B61-AE59-476F-868C-57EFDC0AB042
769,06/30/18,48.8603,-123.3295,humpback whale,Megaptera novaeangliae,1,certain,424766D1-3B78-4AD9-BB13-2544CCD26EAB
