iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Campylodiscus,357563,Chromista,Ochrophyta,,,Bacillariophyceae,,,Surirellales,,,Surirellaceae,,,Campylodiscus,,Campylodiscus sp.,unlisted,unlisted,new 2016,,,,2008-11-27,Mark Weber,,,https://www.inaturalist.org/observations/4873156,https://static.inaturalist.org/photos/5922487/medium.jpg?1483180075,,,diatom
Amphora coffeaeformis,521731,Chromista,Ochrophyta,,,Bacillariophyceae,,,Thalassiophysales,,,Catenulaceae,,,Amphora,Amphora coffeaeformis,Amphora coffeaeformis,unlisted,unlisted,new 2016,,,,2005-07-19,Mark Weber,,,https://www.inaturalist.org/observations/4874695,https://static.inaturalist.org/photos/5924816/medium.jpg?1483219794,,,diatom
Amphora,325558,Chromista,Ochrophyta,,,Bacillariophyceae,,,Thalassiophysales,,,Catenulaceae,,,Amphora,,Amphora sp.,unlisted,unlisted,new 2016,,,,2006-07-21,Mark Weber,,,https://www.inaturalist.org/observations/4874677,https://static.inaturalist.org/photos/5924802/medium.jpg?1483219707,,,diatom
Detonula pumila,468053,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,Detonula pumila,Detonula pumila,unlisted,unlisted,new 2017,,,,2005-07-14,Mark Weber,,,https://www.inaturalist.org/observations/5197581,https://static.inaturalist.org/photos/6413924/medium.jpg?1488272047,,,diatom
Skeletonema japonicum,521234,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Skeletonemataceae,,,Skeletonema,Skeletonema japonicum,Skeletonema japonicum,unlisted,unlisted,new 2016,,,,2006-01-21,Mark Weber,,,https://www.inaturalist.org/observations/4856614,https://static.inaturalist.org/photos/5896283/medium.jpg?1482911329,,,diatom
Planktoniella sol,521675,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Planktoniella,Planktoniella sol,Planktoniella sol,unlisted,unlisted,new 2016,,,,2006-07-21,Mark Weber,,,https://www.inaturalist.org/observations/4873113,https://static.inaturalist.org/photos/5922423/medium.jpg?1483176960,,,diatom
Thalassiosira anguste-lineata,470489,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira anguste-lineata,unlisted,unlisted,new 2017,,,,2010-08-19,Mark Weber,,,https://www.inaturalist.org/observations/9291115,https://static.inaturalist.org/photos/12595279/medium.jpeg?1514520895,,,diatom
Thalassiosira rotula,437514,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula,unlisted,unlisted,new 2016,,,,2012-07-30,Mark Weber,,,https://www.inaturalist.org/observations/4849091,https://static.inaturalist.org/photos/5889405/medium.jpg?1482820241,,,diatom
Minidiscus,521677,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Minidiscus,,Minidiscus sp.,unlisted,unlisted,new 2016,,,,2005-07-24,Mark Weber,,,https://www.inaturalist.org/observations/4873137,https://static.inaturalist.org/photos/5922461/medium.jpg?1483178525,,,diatom
Odontella longicruris,472093,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Triceratiales,,,Triceratiaceae,,,Odontella,Odontella longicruris,Odontella longicruris,unlisted,unlisted,new 2016,,,,2008-11-09,Mark Weber,,,https://www.inaturalist.org/observations/4873117,https://static.inaturalist.org/photos/5922430/medium.jpg?1483177546,,,diatom
Triceratium favus,425472,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Triceratiales,,,Triceratiaceae,,,Triceratium,Triceratium favus,Triceratium favus,unlisted,unlisted,new 2016,,,,2005-01-24,Mark Weber,,,https://www.inaturalist.org/observations/4848981,https://static.inaturalist.org/photos/5889200/medium.jpg?1482818302,,,diatom
Desmarestia aculeata,182896,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,Desmarestia aculeata,Desmarestia aculeata,unlisted,unlisted,reported,2008-02-16,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area.",wiry acid weed
Desmarestia herbacea,345459,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,Desmarestia herbacea,Desmarestia herbacea,unlisted,unlisted,new 2009,,,,2009-07-08,Shera Street,,,http://www.inaturalist.org/observations/2635150,https://static.inaturalist.org/photos/2954196/medium.JPG?1454295785,,"redundant, or can this be identified? (AS); Added ID to iNaturalist record - D. herbacea (KH)",
Desmarestia ligulata,328357,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,Desmarestia ligulata,Desmarestia ligulata,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area.",broad acid weed
Desmarestia viridis,182892,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,Desmarestia viridis,Desmarestia viridis,unlisted,unlisted,confirmed,1999-05-05,Andy Lamb & Donna Gibbs,Ocean Wise,2017-04-08,Tyrel Froese,,,https://www.inaturalist.org/observations/5620551,https://static.inaturalist.org/photos/6948629/medium.jpeg?1491711609,,no change (KH). Confirmed iNaturalist record.,stringy acid weed
Dictyota binghamiae,124829,Chromista,Ochrophyta,,,Phaeophyceae,,,Dictyotales,,,Dictyotaceae,,Dictyoteae,Dictyota,Dictyota binghamiae,Dictyota binghamiae,unlisted,unlisted,reported,1999-05-04,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area.",mermaid's gloves
Hincksia,372715,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Acinetosporaceae,,,Hincksia,,Hincksia sp.,unlisted,unlisted,reported,2006-06-30,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area.",brown tuft
Analipus japonicus,130230,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Chordariaceae,,,Analipus,Analipus japonicus,Analipus japonicus,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25860485,https://static.inaturalist.org/photos/40102418/medium.jpg?1558934804,,,bottlebrush seaweed
Leathesia marina,502380,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Chordariaceae,,,Leathesia,Leathesia marina,Leathesia marina,unlisted,unlisted,new 2015,,,,2015-08-28,Lauren Magner,,,http://www.inaturalist.org/observations/3636580,https://static.inaturalist.org/photos/4203862/medium.JPG?1467876398,,"No update, iNaturalist record used for species confirmation",sea cauliflower
Melanosiphon intestinalis,345332,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Chordariaceae,,,Melanosiphon,Melanosiphon intestinalis,Melanosiphon intestinalis,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859913,https://static.inaturalist.org/photos/40101671/medium.jpg?1558933924,,,
Ectocarpus,182843,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Ectocarpaceae,,,Ectocarpus,,Ectocarpus sp.,unlisted,unlisted,reported,2006-06-30,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area. There are at least four species known from the area based on the taxonomic keys.",brown tuft
Pylaiella,202294,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Acinetosporaceae,,,Pylaiella,,Pilayella sp.,unlisted,unlisted,reported,2006-06-30,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No UBC accession or iNat record to check, but species distribution includes Galiano",brown tuft
Stephanocystis geminata,866748,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,,Stephanocystis,Stephanocystis geminata,Stephanocystis geminata,unlisted,unlisted,reported,2006-09-28,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,reported as Cystoseira geminata,"no change (KH). Cannot compare to collection or photo, it is NOT commonly found in the area, but is in the local taxonomic keys.",northern bladder chain
Fucus distichus,69155,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,,Fucus,Fucus distichus,Fucus distichus,unlisted,unlisted,confirmed,1994-09-10,Andy Lamb & Donna Gibbs,Ocean Wise,2015-08-05,Andrew Simon,,,http://www.inaturalist.org/observations/2599385,https://static.inaturalist.org/photos/2902303/large.JPG?1453227444,syn. Fucus distichus ssp. evanescens,no change (KH). Confirmed iNaturalist record.,rockweed
Sargassum muticum,130177,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,,Sargassum,Sargassum muticum,Sargassum muticum,unlisted,unlisted,confirmed,1977-11-27,Michael W. Hawkes,UBC,2015-08-28,Lauren Magner & Andrew Simon,A57506,,http://www.inaturalist.org/observations/3735153,https://static.inaturalist.org/photos/4340537/medium.jpeg?1469332865,,"No update, iNaturalist record used for species confirmation",wireweed
Agarum clathratum,182956,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Agarum,Agarum clathratum,Agarum clathratum,unlisted,unlisted,reported,2016-01-23,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH) has been recorded from the area as A. cribrosum, species distribution includes Galiano",sea colander kelp
Neoagarum fimbriatum,895193,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Neoagarum,Neoagarum fimbriatum,Neoagarum fimbriatum,unlisted,unlisted,confirmed,1994-10-07,Andy Lamb & Donna Gibbs,Ocean Wise,2019-05-05,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25927070,https://static.inaturalist.org/photos/40213333/medium.jpeg?1559018278,,"No UBC accession or iNat record to check, but species distribution includes Salish Sea so is plausible; authority added",fringed sea colander kelp
Alaria marginata,124814,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Alaria,Alaria marginata,Alaria marginata,unlisted,unlisted,confirmed,1996-09-28,Andy Lamb & Donna Gibbs,Ocean Wise,2016-08-17,Andrew Simon,,,http://www.inaturalist.org/observations/3910118,https://static.inaturalist.org/photos/4596886/medium.jpeg?1471496362,,"no change (KH), common and has been recorded from the area.",winged kelp
Pleurophycus gardneri,429872,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Pleurophycus,Pleurophycus gardneri,Pleurophycus gardneri,unlisted,unlisted,reported,2006-09-29,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",broad-rib kelp
Pterygophora californica,124146,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Pterygophora,Pterygophora californica,Pterygophora californica,unlisted,unlisted,reported,1994-02-26,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",old growth kelp
Nereocystis luetkeana,120499,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Lessoniaceae,,,Nereocystis,Nereocystis luetkeana,Nereocystis luetkeana,unlisted,unlisted,confirmed,1985-07-29,Andy Lamb & Donna Gibbs,Ocean Wise,2015-08-28,Lauren Magner,,,http://www.inaturalist.org/observations/3735010,https://static.inaturalist.org/photos/4340319/medium.jpeg?1469331884,,"Family updated, iNaturalist record used for species confirmation",bull kelp
Saccharina latissima,130231,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Saccharina,Saccharina latissima,Saccharina latissima,unlisted,unlisted,confirmed,1986-05-25,O. Kaddatz,UBC,2016-07-11,Adam Huggins,A80341,,http://www.inaturalist.org/observations/3684442,https://static.inaturalist.org/photos/4272136/medium.?1468629141,,"family update, iNat used for species confirmation",sugar wrack kelp
Costaria costata,125877,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Costaria,Costaria costata,Costaria costata,unlisted,unlisted,confirmed,1993-05-09,Andy Lamb & Donna Gibbs,Ocean Wise,2017-04-08,Tyrel Froese,,,https://www.inaturalist.org/observations/5620533,https://static.inaturalist.org/photos/6948558/medium.jpeg?1491711296,,no change (KH). Confirmed iNaturalist record.,seersucker kelp
Cymathaere triplicata,429947,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Cymathaere,Cymathaere triplicata,Cymathaere triplicata,unlisted,unlisted,reported,2008-08-29,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH). Cannot compare to collection or photo, but it is common and found in the area.",three-ribbed kelp
Laminaria setchellii,81896,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Laminaria,Laminaria setchellii,Laminaria setchellii,unlisted,unlisted,reported,2008-04-27,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No UBC accession or iNat record to check, but species distribution includes Galiano; authority added",split kelp
Lessoniopsis littoralis,464963,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Lessoniaceae,,,Lessoniopsis,Lessoniopsis littoralis,Lessoniopsis littoralis,unlisted,unlisted,reported,1996-02-24,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No UBC accession or iNat record to check, but species distribution includes San Juan Islands so is plausible; authority added",strap kelp
Colpomenia peregrina,129737,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Colpomenia,Colpomenia peregrina,Colpomenia peregrina,unlisted,unlisted,reported,2006-09-28,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,occurs in the area and there are records from the Salish Sea,round brown bag
Petalonia fascia,117816,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Petalonia,Petalonia fascia,Petalonia fascia,unlisted,unlisted,new 2019,,,,2019-05-05,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25861435,https://static.inaturalist.org/photos/40104292/medium.jpeg?1558937057,,,
Scytosiphon lomentaria,182932,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Scytosiphon,Scytosiphon lomentaria,Scytosiphon lomentaria,unlisted,unlisted,new 2017,,,,2017-04-08,Tyrel Froese,,,https://www.inaturalist.org/observations/5620546,https://static.inaturalist.org/photos/6948615/medium.jpeg?1491711514,,,beanweed
Scytosiphon,182964,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Scytosiphon,,Scytosiphon sp.,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859550,https://static.inaturalist.org/photos/40100971/medium.jpg?1558933206,,,
Pileolaria,533325,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Spirorbinae,,Pileolaria,,Pileolaria sp.,unlisted,unlisted,reported,1994-10-23,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,,dwarf calcareous worm
Codium fragile,67555,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,Codium fragile,Codium fragile,unlisted,unlisted,reported,1977-11-27,Michael W. Hawkes,UBC,,,A57498,,,,,"no change (KH), common and has been recorded from the area.",sea staghorn
Prasiola meridionalis,429864,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Prasiola,Prasiola meridionalis,Prasiola meridionalis,unlisted,unlisted,reported,1981-11-15,D. Garbary,UBC,,,A64665,,,,,"No update, no UBC accession photo to check",short sea lettuce
Prasiola,182814,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Prasiola,,Prasiola sp.,unlisted,unlisted,confirmed,1981-11-15,D. Garbary,UBC,2019-05-04,Bridgette Clarkston,A64646,,https://www.inaturalist.org/observations/25860479,https://static.inaturalist.org/photos/40102371/medium.jpg?1558934765,reported as Prasiola furfuracea (Mertens ex Hornemann) Trevisan,"Taxon ID corrected (P. furfuracea not reported in B.C.), no UBC accession photo or iNat record to check",green alga
Rosenvingiella polyrhiza,410405,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,Prasiolaceae,,,Rosenvingiella,Rosenvingiella polyrhiza,Rosenvingiella polyrhiza,unlisted,unlisted,reported,1981-11-15,D. Garbary,UBC,,,A64664,,,,,"No update, No UBC accession photo or iNat record to check, but species distribution includes Salish Sea; authority added",green alga
Codium setchellii,117776,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,Codium setchellii,Codium setchellii,unlisted,unlisted,reported,1994-10-22,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"no change (KH), common and has been recorded from the area.",spongy cushion
Cladophora columbiana,117775,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,Cladophora columbiana,Cladophora columbiana,unlisted,unlisted,new 2016,,,,2016-09-01,Andrew Simon,,,http://www.inaturalist.org/observations/4017201,https://static.inaturalist.org/photos/4745545/medium.jpg?1472822649,,,green pin-cushion alga
Cladophora,53707,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,,Cladophora sp.,unlisted,unlisted,reported,2013-05-17,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,There are one to two additional species that could occur in our area. Would need DNA sequence to verify.,sea moss
Monostroma grevillei,465247,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Monostromataceae,,,Monostroma,Monostroma grevillei,Monostroma grevillei,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859558,https://static.inaturalist.org/photos/40101013/medium.jpg?1558933241,,,
Acrosiphonia coalita,429957,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,Ulotrichaceae,,,Acrosiphonia,Acrosiphonia coalita,Acrosiphonia coalita,unlisted,unlisted,confirmed,2009-06-12,Andy Lamb & Donna Gibbs,Ocean Wise,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859551,https://static.inaturalist.org/photos/40100979/medium.jpg?1558933212,,"no change (KH), common and has been recorded from the area.",green rope
Blidingia minima vexata,338996,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Blidingia,Blidingia minima,Blidingia minima var. vexata,unlisted,unlisted,reported,2007-12-15,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"This would be very difficult to identify. Without microscopic images, a voucher or DNA sequence this record is not verifiable. It is recorded from this area however. If there was collection information it may help",tiny-tube sea lettuce
Ulva fenestrata,152972,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Ulva,Ulva fenestrata,Ulva fenestrata,unlisted,unlisted,confirmed,1977-11-27,Michael W. Hawkes,UBC,2015-08-28,Lauren Magner & Andrew Simon,A57503,,http://www.inaturalist.org/observations/3735172,https://static.inaturalist.org/photos/4340559/medium.jpeg?1469333148,reported as Ulva lactuca L.,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea",sea lettuce
Ulva intestinalis,130197,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,Ulvaceae,,,Ulva,Ulva intestinalis,Ulva intestinalis,unlisted,unlisted,confirmed,1996-09-29,Andy Lamb & Donna Gibbs,Ocean Wise,2016-06-05,Andrew Simon,,,http://www.inaturalist.org/observations/3404281,https://static.inaturalist.org/photos/3939959/medium.JPG?1465335453,,"No update, iNaturalist record used for species confirmation",gutweed
Pyropia nereocystis,542165,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Pyropia,Pyropia nereocystis,Pyropia nereocystis,unlisted,unlisted,reported,1986-02-09,M.W. Hawkes,UBC,,,A57505,,,,reported as Porphyra nereocystis,"name updated, UBC accession has no photo to check, but species distribution includes Galiano; authority updated",red laver
Pyropia perforata,370273,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Pyropia,Pyropia perforata,Pyropia perforata,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859054,https://static.inaturalist.org/photos/40100129/medium.jpg?1558932468,,,
Wildemania occidentalis,895197,Plantae,Rhodophyta,,,Bangiophyceae,,,Bangiales,,,Bangiaceae,,,Wildemania,Wildemania occidentalis,Wildemania occidentalis,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859910,https://static.inaturalist.org/photos/40101653/medium.jpg?1558933905,,,
Smithora naiadum,339024,Plantae,Rhodophyta,,,Compsopogonophyceae,,,Erythropeltidales,,,Erythrotrichiaceae,,,Smithora,Smithora naiadum,Smithora naiadum,unlisted,unlisted,reported,2007-12-15,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"No update, No UBC accession or iNat record to check, but species distribution includes Salish Sea; authority added",red fringe
Bonnemaisonia nootkana,873866,Plantae,Rhodophyta,,,Florideophyceae,,,Bonnemaisoniales,,,Bonnemaisoniaceae,,,Bonnemaisonia,Bonnemaisonia nootkana,Bonnemaisonia nootkana,unlisted,unlisted,reported,2005-12-10,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,"B. nootkana is recorded from the area based on records from herbaria, however it is not included in the keys to the area. This record is difficult to confirm without a photo or specimen.",delicately-branched red seaweed
Irtugovia pacifica,500285,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Irtugovia,Irtugovia pacifica,Antithamnionella pacifica,unlisted,unlisted,reported,1977-11-27,Michael W. Hawkes,UBC,,,A57488,,,,reported as Antithamnionella pacifica,"name updated, UBC accession has no photo to check, but species distribution includes Galiano; Depending on source A. pacifica and I. pacifica are the same (see notes in taxonomic key and algaebase)",red alga
Callithamnion acutum,895196,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Callithamnion,Callithamnion acutum,Callithamnion acutum,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859555,https://static.inaturalist.org/photos/40100988/medium.jpg?1558933223,,,
Callithamnion pikeanum,117770,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Callithamnion,Callithamnion pikeanum,Callithamnion pikeanum,unlisted,unlisted,reported,2006-09-29,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,no change (KH). Common here and we observed during the Bioblitz,beauty bush
Ceramium gardneri,345256,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Ceramium,Ceramium gardneri,Ceramium gardneri,unlisted,unlisted,new 2019,,,,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25859909,https://static.inaturalist.org/photos/40101650/medium.jpg?1558933903,,,
Ceramium pacificum,429948,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Ceramium,Ceramium pacificum,Ceramium pacificum,unlisted,unlisted,confirmed,2006-11-11,Andy Lamb & Donna Gibbs,Ocean Wise,2016-09-01,Andrew Simon,,,http://www.inaturalist.org/observations/4017037,https://static.inaturalist.org/photos/4745328/medium.jpg?1472820211,,no change (KH). Common here and we observed during the Bioblitz. Confirmed iNaturalist record.,hairy pottery seaweed
Microcladia borealis,339006,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Microcladia,Microcladia borealis,Microcladia borealis,unlisted,unlisted,confirmed,2006-11-11,Andy Lamb & Donna Gibbs,Ocean Wise,2019-05-04,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25860480,https://static.inaturalist.org/photos/40102388/medium.jpg?1558934777,,"No UBC accession or iNat record to check, but species distribution includes Galiano; authority added",coarse sea lace
Microcladia coulteri,71116,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Microcladia,Microcladia coulteri,Microcladia coulteri,unlisted,unlisted,confirmed,2006-11-18,Andy Lamb & Donna Gibbs,Ocean Wise,2016-07-11,Adam Huggins & Tyrel Froese,,,http://www.inaturalist.org/observations/3684449,https://static.inaturalist.org/photos/4272144/medium.?1468629241,,"No update, iNaturalist record used for species confirmation",delicate sea lace
Pterothamnion pectinatum,345150,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pterothamnion,Pterothamnion pectinatum,Pterothamnion pectinatum,unlisted,unlisted,new 2019,,,,2019-05-25,Bridgette Clarkston,,,https://www.inaturalist.org/observations/25861436,https://static.inaturalist.org/photos/40104301/medium.jpg?1558937070,,,
Pterothamnion,345788,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Pterothamnion,,Pterothamnion sp.,unlisted,unlisted,reported,1986-02-09,B. E. Lippert,HPSU,,,?,,,,,"name updated, no UBC accession or iNat record to check",red alga
Scagelia americana,957344,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,,,Scagelia,Scagelia americana,Scagelia occidentalis,unlisted,unlisted,reported,1977-11-27,Michael W. Hawkes,UBC,,,A57487,,,,reported as Scagelia corallina var. occidentale,"Taxon ID corrected (S. corallina is old name for S. pylaisaei, which is not reported in BC); authority updated",red alga
Rhodoptilum plumosum,446890,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Dasyaceae,,,Rhodoptilum,Rhodoptilum plumosum,Rhodoptilum plumosum,unlisted,unlisted,confirmed,1977-11-27,Michael W. Hawkes,UBC,2017-04-08,Tyrel Froese,A57500,,https://www.inaturalist.org/observations/5620532,https://static.inaturalist.org/photos/6948563/medium.jpeg?1491711324,,"No update, iNaturalist record used for species confirmation",plumose red braid
Cryptopleura,243907,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,Cryptopleureae,Cryptopleura,,Cryptopleura sp.,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,Ocean Wise,2016-08-21,Tyrel Froese,,,http://www.inaturalist.org/observations/4005089,https://static.inaturalist.org/photos/4730731/medium.jpeg?1472687638,,,
Cumathamnion decipiens,496909,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cumathamnion,Cumathamnion decipiens,Cumathamnion decipiens,unlisted,unlisted,reported,2002-03-23,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,reported as Delesseria decipiens,"no change (KH), common and has been recorded from the area.",winged rib
