id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
48254,48255,Tsuga heterophylla,western hemlock,species,https://static.inaturalist.org/photos/11793124/medium.jpg
48367,50638,Penstemon,beardtongues,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/84784274/medium.jpeg
48385,48386,Heuchera,alumroots,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/7665173/medium.jpg
48528,48527,Symphoricarpos,snowberries,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/44050/medium.jpg
48596,48040,Campanula,bellflowers,genus,https://static.inaturalist.org/photos/9158550/medium.jpg
48685,48686,Typha latifolia,broadleaf cattail,species,https://inaturalist-open-data.s3.amazonaws.com/photos/4280840/medium.jpeg
48729,48536,Lysichiton,skunk cabbages,genus,https://static.inaturalist.org/photos/270505564/medium.jpg
48970,50638,Antirrhinum,Snapdragons,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/102869078/medium.jpeg
49340,47322,Castilleja,Paintbrushes,genus,https://static.inaturalist.org/photos/342511568/medium.jpg
49347,48150,Phacelia,Scorpionweeds,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/32535473/medium.jpg
49389,48567,Stellaria,chickweeds,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/236995747/medium.jpg
49478,133387,Monotropa,Indian pipes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/99737854/medium.jpeg
49650,49464,Toxicoscordion,Deathcamas,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/1832/medium.jpg
49883,49156,Betula papyrifera,paper birch,species,https://inaturalist-open-data.s3.amazonaws.com/photos/7963576/medium.jpg
50259,59992,Arceuthobium,Dwarf-Mistletoes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/9166/medium.jpg
50636,50638,Plantago,plantains,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/31254943/medium.jpg
50651,48150,Nemophila,baby blue eyes and allies,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/4795045/medium.jpg
50791,50638,Linaria,Toadflaxes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/175257689/medium.jpeg
50793,47322,Triphysaria,,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/24571/medium.jpg
