Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Buxbaumia viridis,(DC.) Moug. & Nestl.,green shield moss,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159612
Amphidium californicum,(Hampe ex Müll. Hal.) Broth.,california amphidium moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Amphidiaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,158304
Amphidium lapponicum ,(Hedw.) Schimp.,lapland amphibian moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Amphidiaceae,,native,S5 (2015) ,confirmed,documented,31487,Terry Taylor,UBC  ,B126394,"LGL Limited, Environmental Research Associates, Sidney, BC",43925,judithofsquamish,https://www.inaturalist.org/observations/41418055,"UBC: Bowen Island Mt. Gardner Bowen Hill Trail on rock in Alnus rubra, Tsuga heterophylla forest",158305
Aongstroemia longipes,(Sommerfelt) Bruch & Schimper,sprig moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Aongstroemiaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,158443
Arctoa fulvella ,(Dicks.) Bruch & Schimp. B18,tawny fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,29824,J. Spence,UBC ,B102089,"LGL Limited, Environmental Research Associates, Sidney, BC",, ,,"UBC: Garibaldi Park, Sentinel Glacier foreland",158575
Campylopus atrovirens ,De Not.,campylopus moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Leucobryaceae,,native,S4 (2015)  ,confirmed,documented,37853,W. B. Schofield ,UBC  ,B194642,"LGL Limited, Environmental Research Associates, Sidney, BC",44011,rambryum,https://www.inaturalist.org/observations/51440293,"UBC: Shannon Falls S of Squamish; on ledge, base of sheer cliff ",159784
Campylopus flexuosus ,Sull. & Lesq. ,rusty swan-neck moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Leucobryaceae,,native,S4 (2015) ,reported,undocumented,30856,M. R. Schofield ,UBC  ,B58048,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Squamish Chief PP; on exposed cliff face,159802
Campylopus fragilis,Bruch & W.P.Schimper,brittle swan-neck moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Leucobryaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159789
Ceratodon purpureus,(Hedw.) Brid. ,redshank,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S5 (2015) ,confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",43584,judithofsquamish,https://www.inaturalist.org/observations/24123452,,123117
Cynodontium jenneri,(Schimp.) Stirt.,jenner's dog-tooth moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161409
Dichodontium olympicum ,Ren. & Card.,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,30588,W. B. Schofield,UBC  ,B58185,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Alice Ridge, trail to Diamond Head Mt.; Late snow area, subalpine forest ",161819
Dichodontium pellucidum,(Hedwig) Schimper,transparent fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015) ,confirmed,documented,30539,J. Spence,UBC  ,B64769,"LGL Limited, Environmental Research Associates, Sidney, BC",43550,rambryum,https://www.inaturalist.org/observations/21665175,UBC: Bowen Island Ecological Reserve; edge of Lee Creek,161820
Dicranoweisia cirrata,(Hedw.) Lindb. ex Milde,common p+C133incushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5 (2015),new 2018,documented,,,,,,43449,benkeen,https://www.inaturalist.org/observations/19035681,,67949
Dicranella cerviculata,(Hedw.) Schimp,spur-necked forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161830
Dicranella heteromalla,(Hedw.) Schimp,silky forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011)  ,reported,undocumented,39944,W. R. Buck ,NY,NY: 01105227,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,67876
Dicranella pacifica,W.B. Schofield,pacific dicranella moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161836
Dicranella palustris,(Dickson) E.F. Warb.,marsh forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,37171,W. B. Schofield ,UBC  ,B189706,,,,,UBC: Cypress PP mainly near base of Mt. Strachan; wet cliff gully,161837
Dicranella rufescens,(With.) Schimp.,rufous forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015),reported,undocumented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161838
Dicranella schreberiana,(Hedwig) Hilferty ex H. A. Crum & L. E. Anderson,schreber's forklet moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161839
Dicranodontium denudatum,(Brid.) Britt. ,denuded dicranodontium moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015)   ,reported,undocumented,29646,W. B. Schofield,UBC  ,B23914,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Shannon Falls S of Squamish;  damp shaded cliff ,161845
Dicranoweisia cirrata,(Hedw.) Lindb. ex Milde,common pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015)  ,confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",43369,benkeen,https://www.inaturalist.org/observations/16933780,,67949
Dicranoweisia crispula,(Hedw.) Lindb. ex Milde,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,37791,W. B. Schofield,UBC  ,B193590,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: 1.5 mi. S of Swift Creek, Squamish - Whistler Hwy.; boulder of talus",154135
Dicranum bonjeanii ,De Not.,crisped fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,22497,E.B. Peterson ,UBC  ,B60710,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: ""The Lions""",161852
Dicranum fulvum,Hooker,boulder broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2011),new 2018,documented,,,,,,43367,keeganjd,https://www.inaturalist.org/observations/16872761,iNat: needs i.d.,161858
Dicranum fuscescens ,Turn.,dusky fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,37033,W. B. Schofield,UBC  ,B187038,"LGL Limited, Environmental Research Associates, Sidney, BC",43954,judithofsquamish,https://www.inaturalist.org/observations/44993427,UBC: Woodfibre head of Howe Sound; on tree trunk,123177
Dicranum howellii ,Ren. & Card.,howell's dicranum moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,28339, ,RBCM,VC011804,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,161860
Dicranum montanum,Hedw.,montane dicranum moss/mountain heron's bill moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161864
Dicranum muehlenbeckii ,Bruch & Schimp.,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,30154,J. Spence,UBC  ,B104188,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP trail to Lions, along ridge crest ",161865
Dicranum pallidisetum,(Bail. in Holz.) Irel.,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,37033,W. B. Schofield,UBC  ,B186995,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Woodfibre, head of Howe Sound; bank in forest ",161867
Dicranum scoparium,Hedw.,broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",43367,keeganjd,https://www.inaturalist.org/observations/16895416,,123134
Dicranum tauricum,Sapeh,fragile fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",42787,elsemikkelsen,https://www.inaturalist.org/observations/9211015,,161872
Diobelonella palustris,(Dicks.) Ochyra,marsh forklet moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Aongstroemiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Dicranella palustris ,1131983
Distichium capillaceum,(Hedwig) Bruch & Schimper,erect-fruit iris moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161964
Ditrichum heteromallum ,(Hedw.) Britt.,curve-leaved ditrichum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S4S5 (2011) ,reported,undocumented,37033,W. B. Schofield,UBC  ,B187025,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Woodfibre, head of Howe Sound; disturbed slope ",161968
Ditrichum montanum,Leiberg,montane cow-hair moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S3S4 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161970
Ditrichum pusillum,(Hedw.) Hampe,brown ditrichum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161972
Fissidens adianthoides,Hedw.,maidenhair pocket moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Fissidentaceae,,native,S4S5 (2011),new 2017,documented,,,,,,44445,benkeen,https://www.inaturalist.org/observations/93913800,,162992
Flexitrichum flexicaule,(Schwägr.) Ignatov & Fedosov,flexible cow-hair moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Flexitrichaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Ditrichum flexicaule ,1122772
Kiaeria blyttii,(schimp.) broth.,blytt's fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,164347
Kiaeria falcata ,(Hedw.) I. Hag.,sickle-leaved fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4 (2015),reported,undocumented,34966,W. B. Schofield,UBC  ,B160577,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP, Cypress Bowl area, gully at base of Mt. Strachan; on outcrop flanking gully ",164348
Kiaeria starkei,(Weber & D. Mohr) I. Hag.,starke's fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5 (2011)  ,reported,undocumented,30154,J. Spence,UBC  ,B104176,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP, Cypress Bowl Prov. Park, trail to Lions, along ridge crest; on moist soil in heather ",164350
Leucobryum sp,,Leucobryum mosses,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Leucobryaceae,,,,new 2021,documented,,,,,,44370,thomasduxbury,https://www.inaturalist.org/observations/84178358,iNat: needs i.d.,122659
Oncophorus virens,(Hedw.) Brid.,oncophorus moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165845
Oncophorus wahlenbergii,Brid.,wahlenberg's oncophorus,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Rhabdoweisiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165846
Paraleucobryum enerve,(Thed.) Loeske,paraleucobryum moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Paraleucobryum,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,166121
Schistostega pennata ,(Hedw.) Web. & Mohr. ,luminous moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Schistostegaceae,,native,S4 (2015)  ,reported,undocumented,29327,"W. B. Schofield & T. T. Mcintosh, J. P. van Velzen",UBC,B10280,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Herbarium record: Squamish area, Floodplain N of and near Squamish",168594
Trematodon ambiguus ,(Hedw.) Hornsch.,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Bruchiaceae,,native,S3S4 (2011),reported,undocumented,29498,W. B. Schofield,UBC  ,B22864,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Herbarium record: Squamish nearby,155766
Trichodon cylindricus ,(Hedw.) Schimp.,trichodon moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015),reported,undocumented,29498,W. B. Schofield,UBC  ,s.n.,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Herbarium record: Squamish nearby,169918
Diphyscium foliosum,"(Hedwig) D. Mohr,",powder gun moss,Plantae,Bryophyta,,,Bryopsida,,,Diphysciales,,,Diphysciaceae,,native,S2S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,161936
Encalypta ciliata,Hedw.,fringed extinquisher moss,Plantae,Bryophyta,,,Bryopsida,,,Encalyptales,,,Encalyptaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,162304
Encalypta procera,Bruch,slender candlesnuffer moss,Plantae,Bryophyta,,,Bryopsida,,,Encalyptales,,,Encalyptaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,162309
Fissidens adianthoides,Hedw.,maidenhair pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S4S5 (2011) ,confirmed,documented,30950,W. B. Schofield,UBC  ,B94603,"LGL Limited, Environmental Research Associates, Sidney, BC",44445,benkeen,https://www.inaturalist.org/observations/93913800,"UBC: Shannon Falls, S of Squamish",162992
Fissidens bryoides ,Hedw.,lesser pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S4S5 (2011),reported,undocumented,18722,V. J. Krajina ,UBC  ,s.n.,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"on NatureServe, accepted by I.T.I.S & FNA map shows it in BC",124421
Fissidens limbatus,Sull.,fissidens moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163009
Fissidens osmundoides,Hedw.,osmund fissidens moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163015
Fissidens pauperculus,M. Howe,poor pocket moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S1,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163017
Fissidens ventricosus,Lesq.,fissidens moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S2S3,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163025
Funaria hygrometrica,Hedw.,bonfire moss,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,native,S4S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43955,benkeen,https://www.inaturalist.org/observations/44942166,,120000
Blindia acuta ,(Hedw.) Bruch & Schimp. B63,sharp-leaved blindia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S5 (2015),reported,undocumented,29452,J. van Velzen ,UBC  ,B20723,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP, overhanging rock wall, < 1 cm soil accumulation ",156309
Brachydontium olympicum ,(Britt. in Frye) McIntosh &  Spence,olympic brachydontium moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Seligariaceae,,native,S2? (2015),reported,undocumented,30588,J. Spence & W. B. Schofield ,UBC  ,B58202,,,,,"UBC: Garibaldi PP Alice Ridge, trail to Diamond Head, slope above small lake near Gargoyles base, bases of shaded stones of scree ",156319
Dryptodon patens ,(Hedw.) Brid.,spreading fringemoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2011)  see 'notes',reported,undocumented,30196,W. B. Schofield,UBC  ,s.n.,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"current name on NatureServe, Grimmia ramondii in CDC records; iNaturalist has both names ",338191
Grimmia alpestris,(F. Weber & D. Mohr) Schleich.,none,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,510020
Grimmia anodon,Bruch & Schimper,toothless grimmia moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163375
Grimmia anomala,Hampe ex. Schimp.,grimmia dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S3,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,123911
Grimmia caespiticia,"(Bridel) Juratzka, Laubm. -Fl. Oesterr.-Ung. ",none,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S2S3 (2015)   ,reported,undocumented,30154,J. Spence ,UBC  ,B104173,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP  trail to Lions, along ridge crest; damp partially shaded crevices  ",446732
Grimmia elatior,Bals & De Notaris,grimmia dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163383
Grimmia leibergii,Paris,none,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S2S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163390
Grimmia pulvinata,(Hedw.) Sm,grey-cushioned grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),new 2020,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43892,judithofsquamish,https://www.inaturalist.org/observations/39493797,,56117
Grimmia tenerrima,Ren. & Card.,grimmia dry rock moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163402
Grimmia torquata ,Hornsch. in Grev.,twisted grimmia ,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2011) ,reported,undocumented,32817,Terry Taylor,UBC  ,B126420,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Evans Lake area, N of Squamish, near Copperbush Pond; on granitic rock of dripping cliff ",163405
Grimmia trichophylla ,Grev.,hair-pointed grimmia,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015) ,reported,undocumented,31480,Terry Taylor,UBC  ,B126393,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Sea View Walk, above Fishermans Cove, W Vancouver",163406
Racomitrium aciculare ,(Hedw.) Brid.,yellow fringe-moss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),reported,undocumented,29377,Joop van Velzen,UBC  ,B20813,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Brandywine Falls PP; Shaded and sheltered rocks along stream, 1-2 cm soil accumulation ",129655
