Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Mycena haematopus,(Pers.: Fr.) P. Kumm,Bleeding Fairy Helmet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,SNR,new 2019,documented,,,,,,43671,benkeen,https://www.inaturalist.org/observations/29552998,,63460
Mycena oregonensis,A. H. Sm. ,Western Yellow Mycena,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,SNR,new 2019,documented,,,,,,43730,benkeen,https://www.inaturalist.org/observations/33232035,,63472
Mycena pura,(Pers.: Fr.) P. Kumm,Lilac Bonnet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,SNR,new 2019,documented,,,,,,43695,noracee,https://www.inaturalist.org/observations/31103526,,63473
Mycena purpureofusca,(Peck) Sacc. ,purple-edge bonnet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,SNR,new 2020,documented,,,,,,44100,jfclarke,https://www.inaturalist.org/observations/61262706,,63422
Panellus stipticus,(Bull.) P. Karst,luminescent panellus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,SNR,new 2019,documented,,,,,,43806,benkeen,https://www.inaturalist.org/observations/36446840,,68309
Scytinotus longinquus,(Berk.) Thorn.,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Porotheleaceae,,,SNR,new 2018,documented,,,,,,43457,benkeen,https://www.inaturalist.org/observations/19181482,,498511
Strobilurus trullisatus,(Murrill) Lennox,Fir-Cone Mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Physalacriaceae,,,SNR,new 2018,documented,,,,,,43359,benkeen,https://www.inaturalist.org/observations/16607548,,118192
Xeromphalina tenuipes,(Schwein.) A.H.Sm.,none found,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,,,,genus is in CDC records,new 2020,documented,,,,,,43877,cunderdown,https://www.inaturalist.org/observations/38744749,,352855
Pleurocybella porrigens,(Pers.) Singer,angel's wings,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Phyllotopsidaceae,,,SNR,new 2014,documented,,,,,,41922,hillanddale,https://www.inaturalist.org/observations/9601559,,48509
Pleurotus ostreatus,(Jacq. ex Fr.)  P. Kumm.,Oyster Mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,SNR,new 2017,documented,,,,,,42860,chlorophilia,https://www.inaturalist.org/observations/6113067,,48494
Pleurotus pulmonarius,(Fr.) Quél.,summer oyster mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,SNR,new 2019,documented,,,,,,43605,nicolarammell,https://www.inaturalist.org/observations/25475763,,136399
Sarcomyxa serotina,(Pers.) P. Karst.,Late Oyster,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Sarcomyxaceae,,,SNR,new 2018,documented,,,,,,43412,judithofsquamish,https://www.inaturalist.org/observations/18277964,,63585
Hohenbuehelia petaloides,(Bull.) Schulzer,Shoehorn Oyster,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,SNR,new 2020,documented,,,,,,43954,judithofsquamish,https://www.inaturalist.org/observations/44845347,,154750
Amanita aprica,J. Lindgr. & Tulloss,sunshine Amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,SNR,new 2018,documented,,,,,,43232.625,gwenlh,https://www.inaturalist.org/observations/12414336,,496850
Amanita junquillea,Quél.,jewelled amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,genus in CDC records,new 2019,documented,,,,,, 2019-10-27,jhop42,https://www.inaturalist.org/observations/34977805,,350046
Amanita muscaria,(L.) Pers.,fly agaric,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,SNR,new 2017,documented,,,,,,43017,sea2skynaturebc,https://www.inaturalist.org/observations/8327891,,48715
Amanita muscaria flavivolvata,Singer,fly agaric,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,subsp not in CDC records,new 2019,documented,,,,,,43786,emmaross,https://www.inaturalist.org/observations/68385890,,335932
Amanita pantherina,(DC.) Krombholz ,panthercap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,SNR,new 2019,documented,,,,,,43597,james634,https://www.inaturalist.org/observations/25033236,,48418
Amanita phalloides,(Vaill ex Fr.) Link,deathcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,SNR,new 2018,documented,,,,,,43394,booboo,https://www.inaturalist.org/observations/17731288,,52135
Amanita porphyria,Alb. & Schwein : Fr.,grey-veiled amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,SNR,new 2019,documented,,,,,,43695,noracee,https://www.inaturalist.org/observations/31103401,,118400
Pluteus cervinus,(Schaeff.) P. Kumm.,deer mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Pluteaceae,,,SNR,new 2018,documented,,,,,,43373,marco777,https://www.inaturalist.org/observations/17125037,,60782
Schizophyllum commune,Fries,splitgill mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Schizophyllineae,,Schizophyllaceae,,,SNR,new 2018,documented,,,,,,43421,benkeen,https://www.inaturalist.org/observations/18460482,,54573
Lepiota magnispora,(Bull.) H.E. Bigelow & A.H. Sm.,Blewit,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Clitocybaceae,,,SNR,new 2018,documented,,,,,,43435,benkeen,https://www.inaturalist.org/observations/18763265,,351380
Leucocybe connata,"(Schumach.) Vizzini, P. Alvarado, G. Moreno & Consiglio ",White Domecap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Lyophyllaceae,,,SNR,new 2018,documented,,,,,,43388,judithofsquamish,https://www.inaturalist.org/observations/18715575,,625290
Plicatura nivea,(Sommerf.) P. Karst.,snow-white crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Amylocorticiales,,,Amylocorticiaceae,,,SNR,new 2018,documented,,,,,,43408,judithofsquamish,https://www.inaturalist.org/observations/18135928,,464306
Plicaturopsis crispa,(Pers.) D. A. Reid,crimped gill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Amylocorticiales,,,Amylocorticiaceae,,,SNR,new 2020,documented,,,,,,44153,benkeen,https://www.inaturalist.org/observations/65183645,,55565
Aureoboletus mirabilis,(Murrill) Murrill ,admirable bolete,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Boletaceae,Xerocomoideae,,SNR,new 2018,documented,,,,,,43394,booboo,https://www.inaturalist.org/observations/17732343,,790782
Boletus edulis,Bull.,king bolete,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Boletaceae,,,SNR,new 2018,documented,,,,,,43300,derekkillby,https://www.inaturalist.org/observations/14582669,,48701
Bryoria fremontii,(Tuck.) Brodo & D. Hawksw.,edible horsehair,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Boletaceae,,native ,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,205663,
Gomphidius subroseus,Kauffman,Rosy Slime Spike,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Gomphidiaceae,,,SNR,new 2019,documented,,,,,,43734,benkeen,https://www.inaturalist.org/observations/33462926,,48428
Hygrophoropsis aurantiaca,(Wulfen) Maire,False Chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Hygrophoropsidaceae,,,SNR,new 2020,documented,,,,,,44164,benkeen,https://www.inaturalist.org/observations/65850038,,63538
Paxillus cuprinus,"Jargeat, Gryta, J.-P. Chaumeton & Vizzini",coppery pax,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Paxillaceae,,,genus is in CDC records,new 2020,documented,,,,,,44110,robidium,https://www.inaturalist.org/observations/62092011,,416322
Suillus lakei,(Murrill) A.H. Sm. and Thiers,Western Painted Suillus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Suillaceae,,,SNR,new 2018,documented,,,,,,43424,judithofsquamish,https://www.inaturalist.org/observations/18794500,,118159
Tapinella atrotomentosa,(Batsch) Šutara,Velvet-footed Pax,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Tapinellaceae,,,SNR,new 2019,documented,,,,,,43667,nesilaltaca,https://www.inaturalist.org/observations/29280896,,154450
Xerocomellus atropurpureus,"J.L. Frank, N. Siegel & C.F. Schwarz",none found,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Boletaceae,,,genus is in CDC records,new 2019,documented,,,,,,43757,northvandad,https://www.inaturalist.org/observations/34714886,,1020294
Xerocomellus zelleri,(Murrill) Klofac,Zeller's bolete,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Boletaceae,,,SNR,new 2019,documented,,,,,,43757,northvandad,https://www.inaturalist.org/observations/34721228,,438008
Ramaria formosa,(Pers.) Quél.,yellow-tipped coral fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,SNR,new 2019,documented,,,,,,43694,thrasherbird,https://www.inaturalist.org/observations/31270090,,48770
Ramaria stricta,(Pers. per Fr.) Quel. ,Upright Coral Fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,SNR,new 2019,documented,,,,,,43730,benkeen,https://www.inaturalist.org/observations/33233130,,54228
Turbinellus floccosus,(Schwein) Earle ex Giachini & Castellano ,Scaly Chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,SNR,new 2019,documented,,,,,,43702,amygalina,https://www.inaturalist.org/observations/31525385,,417398
Turbinellus kauffmanii,(A.H. Sm.) Giachini,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,SNR,new 2020,documented,,,,,,44081,chrisshier,https://www.inaturalist.org/observations/58993245,,352687
Calocera cornea,(Batsch) Fr.,club-like tuning fork,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2018,documented,,,,,,43288,carl1986,https://www.inaturalist.org/observations/15716045,,118027
Calocera viscosa,(Pers.) Fr.,jelly-antler,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2018,documented,,,,,,43460,benkeen,https://www.inaturalist.org/observations/19238710,,63405
Dacrymyces chrysospermus,(Bull.) Tul.,Orange Jelly Spot,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2013,documented,,,,,,41636,hillanddale,https://www.inaturalist.org/observations/9595902,,118028
Dacrymyces stillatus,Nees: Fr.,Jelly Spot Fungus,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2020,documented,,,,,,43855,keeganjd,https://www.inaturalist.org/observations/37964302,,53276
Dacryopinax spathularia,(Schwein.) G. W. Martin ,Fan-shaped Jelly Fungus,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2019,documented,,,,,,43827,benkeen,https://www.inaturalist.org/observations/37048647,,143313
Guepiniopsis alpina,(Tracy & Earle) Brasf.,alpine jelly cone,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2018,documented,,,,,,43281,mrob,https://www.inaturalist.org/observations/13950896,,118032
Guepiniopsis buccina,(Pers.) L.L. Kenn.,none,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,SNR,new 2018,documented,,,,,,43428,judithofsquamish,https://www.inaturalist.org/observations/18716644,,350910
Dermatocarpon miniatum,(L.) W. Mann,blushing stippleback,Fungi,Basidiomycota,Agaricomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,154129,
Dermatocarpon reticulatum,H. Magn.,sandpaper stippleback,Fungi,Basidiomycota,Agaricomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,218258,
Cronartium harknessii,(J.P.Moore) Y.Hiratsuka,Western Gall Rust,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Melampsorineae,,Coleosporiaceae,,,not in CDC records,new 2020,documented,,,,,,43917,judithofsquamish,https://www.inaturalist.org/observations/40859848,,1096591
Cronartium ribicola,J.C. Fisch,white pine blister rust,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Melampsorineae,,Coleosporiaceae,,,add - not in CDC records,new 2016,documented,,,,,,42505,rileypollom,http://inaturalist.ca/observations/3184546,,199391
Pucciniastrum goeppertianum,(Kuehn) Kleb.,huckleberry Broom Rust Fungus,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Melampsorineae,,Pucciniastraceae,,,not in CDC records,new 2019,documented,,,,,,43744,northvandad,https://www.inaturalist.org/observations/34284458,,207609
Naematelia aurantia,Schwein. Schrift. Naturf. Ges. Leipzig,golden ear,Fungi,Basidiomycota,Agaricomycotina,,Tremellomycetes,,,Tremellales,,,Naemateliaceae,,,not in CDC records,new 2018,documented,,,,,,43410,judithofsquamish,https://www.inaturalist.org/observations/18193111,,1109245
Tremella mesenterica,Retz. ,witch's butter,Fungi,Basidiomycota,Agaricomycotina,,Tremellomycetes,,,Tremellales,,,Tremellaceae,,,SNR,new 2018,documented,,,,,,43288,carl1986,https://www.inaturalist.org/observations/15716044,,48529
Exobasidium cassiopes,Peck,none,Fungi,Basidiomycota,Ustilaginomycotina,,Exobasidiomycetes,,,Exobasidiales,,,Exobasidiaceae,,,genus is in CDC records,new 2019,documented,,,,,,43632,hydaticus,https://www.inaturalist.org/observations/27189014,,555285
Spinellus fusiger,(Link) Tiegh.,bonnet mold,Fungi,Zygomycota,Mucoromycotina,,Mucoromycetes,,,Mucorales,,,Phycomycetaceae,,,not in CDC records,new 2020,documented,,,,,,44031,shaanaroeste,https://www.inaturalist.org/observations/53812619,,425360
Ceratiomyxa fruticulosa,O.F.Mull.,Honeycomb Coral Slime Mold,Protozoa/Protista,Mycetozoa,,,Protosteliomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,not in CDC records,new 2017,documented,,,,,,42883,ritaclare,https://www.inaturalist.org/observations/6509868,,56252
Lycogala epidendrum,(L.) Fr. ,Wolf's Milk,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,not in CDC records,new 2017,documented,,,,,,42862,edefreit,https://www.inaturalist.org/observations/6132820,,47680
Reticularia intermedia,Nann.-Bremek.,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,not in CDC records,new 2021,documented,,,,,,44339,kpenney,https://www.inaturalist.org/observations/80143426,,491513
Reticularia lycoperdon,Bull.,False Puffball,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,not in CDC records,new 2019,documented,,,,,,43598,nicolarammell,https://www.inaturalist.org/observations/25147282,,145366
Badhamia utricularis,(Bull.) Berk.,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2018,documented,,,,,,43449,benkeen,https://www.inaturalist.org/observations/19038130,,56264
Fuligo septica,(L.) F. H. Wigg.,Dog Vomit Slime Mould,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2018,documented,,,,,,43278,carl1986,https://www.inaturalist.org/observations/13860636,,55483
Leocarpus sp.,(L.) Fr. ,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2020,documented,,,,,,43995,rachelshephard,https://www.inaturalist.org/observations/49574007,,56274
Mucilago crustacea,P. Micheli ex F.H. Wigg,Dog Sick Slime Mould,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Didymiaceae,,,not in CDC records,new 2019,documented,,,,,,43569,benkeen,https://www.inaturalist.org/observations/22489593,,63041
Physarum leucopus,Link.,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2020,documented,,,,,,44000,ryan_durand,https://www.inaturalist.org/observations/50723177,,383662
Physarum viride,(Bull.) Pers.,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2020,documented,,,,,,43999,ryan_durand,https://www.inaturalist.org/observations/50369638,,383670
Stemonitis splendens,Gled.,chocolate tube slime,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,not in CDC records,new 2020,documented,,,,,,43975,nicolarammell,https://www.inaturalist.org/observations/47559538,,53838
Arcyria cinerea,(Bull.) Pers.,White Carnival Candy Slime Mold,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2020,documented,,,,,,44000,ryan_durand,https://www.inaturalist.org/observations/50724879,,56258
Arcyria denudata,(L.) Wettst,carnival candy slime mold,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2019,documented,,,,,,43743,benkeen,https://www.inaturalist.org/observations/33917107,,56262
Arcyria stipata,(Schwein) Lister ,,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2019,documented,,,,,,43750,benkeen,https://www.inaturalist.org/observations/34273553,,565889
Trichia decipiens,(Pers.) T. Macbr.,salmon-eggs,Protozoa/Protista,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Trichiaceae,,,not in CDC records,new 2019,documented,,,,,,43660,laijasmine,https://www.inaturalist.org/observations/29641175,,56275
