Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Antheraea polyphemus,(Cramer),polyphemus moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniidae,Native,SNR,confirmed,documented,1922-07-15,G.J. Spencer,UBC,SEM-UBC SAT-0057,2013-06-20,hillanddale,https://www.inaturalist.org/observations/6113066,https://static.inaturalist.org/photos/7649647/medium.jpeg?1494092146,,47919,,
Anthidium manicatum,Linnaeus,European wool carder bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,Exotic,SNA (2016) ,new 2017,documented,,,,,2017-07-22,gwenlh,https://www.inaturalist.org/observations/9724384,https://static.inaturalist.org/photos/13302859/medium.jpg?1517716665,,62453,,
Anthocharis sara,Lucas,Sara orangetip,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,Native,S5 (2013),reported,undocumented,1933-04-23,not online,RBCM,ENT991-121762,,,,,historical record West Vancouver,59124,,
Anthocoris antevolens,White,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,,not in CDC records,reported,undocumented,1965-05-24,G.J. Spencer,UBC,SEM-UBC ANTH-0078,,,,,,498349,,
Anthocoris tomentosus,Pericart,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,,not in CDC records,reported,undocumented,1963-09-23,G.J. Spencer,UBC,SEM-UBC ANTH-0373,,,,,,453779,,
Anticlea vasiliata,Gn.,variable carpet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2015,documented,,,,,2015-04-04,elsemikkelsen,https://www.inaturalist.org/observations/9176895,https://static.inaturalist.org/photos/12417229/medium.jpg?1513495444,,215211,,
Apamea amputatrix,Fitch,yellow-headed cutworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-30,benkeen,https://www.inaturalist.org/observations/29873340,https://static.inaturalist.org/photos/46645555/medium.jpeg?1564517199,,213826,,
Apamea unanimis,Hübner,small clouded brindle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Exotic,SNA (2017),new 2019,documented,,,,,2019-05-24,benkeen,https://www.inaturalist.org/observations/25715653,https://static.inaturalist.org/photos/39861612/medium.jpeg?1558760244,,213861,,
Apamea vultuosa,Grote,airy apamea moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-06,benkeen,https://www.inaturalist.org/observations/26536143,https://static.inaturalist.org/photos/41213448/medium.jpeg?1559884697,,213865,,
Aphidius sp.,Nees,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Aphidiinae,,genus not in CDC records,reported,undocumented,1961-05-22,G.J. Spencer,UBC,SEM-UBC HYM-5346,,,,,,250247,,
Aphodius congregatus,(Mannerheim),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae, Aphodiinae,,genus is in CDC records,reported,undocumented,1981-08-01,R.J. Cannings,UBC,SEM-UBC COL-27510,,,,,original record Agoliinus congregatus ,475710,,
Aphrophora sp.,Germar,a genus of spittlebugs,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cercopoidea,Aphrophoridae,Aphrophorinae,,genus not in CDC records,new 2019,documented,,,,,2019-08-14,benkeen,https://www.inaturalist.org/observations/30859036,https://static.inaturalist.org/photos/48239362/medium.jpeg?1565852324,,173079,,
Apis mellifera,Linnaeus,western honey bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Exotic,SNA (2016) ,new 2018,documented,,,,,2018-03-24,gwenlh,https://www.inaturalist.org/observations/10402544,https://static.inaturalist.org/photos/14444046/medium.jpg?1521935915,,47219,,
Apotomis capreana,Hübner,sallow apotomis moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Olethreutinae,Native,SNR (2017) ,new 2019,documented,,,,,2019-08-19,benkeen,https://www.inaturalist.org/observations/31163234,https://static.inaturalist.org/photos/48747995/medium.jpeg?1566283115,,214030,,
Apteroloma caraboides,(Fall),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Agyrtidae,Pterolomatinae,Native,S3S5 (2017) ,reported,undocumented,1984-05-27,B. Harrison,UBC,SEM-UBC COL-28991,,,,,,455075,,
Aquarius remigis,(Say),common water strider,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae, ,,not in CDC records,confirmed,documented,1981-09-13,G.G.E. Scudder,UBC,SEM-UBC GER-0270,2018-09-11,benkeen,https://www.inaturalist.org/observations/7425969,https://static.inaturalist.org/photos/9649757/medium.jpg?1502312582,,59651,,
Aradus heidemanni,Bergroth,sp. of flat bug family,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Aradoidea,Aradidae,,,not in CDC records,reported,undocumented,1951-07-13,W. Cottle,UBC,SEM-UBC HET-4118,,,,,iNaturalist 322578-Aradus genus,0,,
Aradus persimilis,Van Duzee,sp. of flat bug family,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Hemiptera,Heteroptera,Aradoidea,Aradidae,,,not in CDC records,reported,undocumented,1951-06-13,W. Cottle,UBC,SEM-UBC HET-4033,,,,,iNaturalist 322578-Aradus genus,0,,
Archipini,,tribe of Tortrix moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,,n/a,new 2019,documented,,,,,2019-06-25,benkeen,https://www.inaturalist.org/observations/27681017,https://static.inaturalist.org/photos/43094360/medium.jpeg?1561531559,,199542,,
Archips rosana,Linnaeus,rose tortrix moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Exotic,SNA (2017) ,new 2019,documented,,,,,2019-06-28,benkeen,https://www.inaturalist.org/observations/27855555,https://static.inaturalist.org/photos/43384099/medium.jpeg?1561791934,,214086,,
Argia sp.,Rambur,dancers,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,genus is in CDC records,new 2019,documented,,,,,2019-05-04,benkeen,https://www.inaturalist.org/observations/24548790,https://static.inaturalist.org/photos/37959211/medium.jpg?1557011046,,47977,,
Arta sp.,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Pyralidae,Chrysauginae,,genus is in CDC records,new 2019,documented,,,,,2019-07-04,benkeen,https://www.inaturalist.org/observations/28209777,https://static.inaturalist.org/photos/43958275/medium.jpeg?1562290153,,173022,,
Asemum sp.,Eschscholtz,a genus of long-horned beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Spondylidinae,,genus is in CDC records,new 2019,documented,,,,,2019-07-30,benkeen,https://www.inaturalist.org/observations/29898878,https://static.inaturalist.org/photos/46688082/medium.jpeg?1564548672,,172998,,
Asilinae,,a subfamily of flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Asilinae,,n/a,new 2019,documented,,,,,2019-08-29,benkeen,https://www.inaturalist.org/observations/31772778,https://static.inaturalist.org/photos/49765008/medium.jpeg?1567142979,,326683,,
Athous sp.,Eschscholtz,a genus of click beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,genus is in CDC records,new 2018,documented,,,,,2018-06-25,thuja,https://www.inaturalist.org/observations/13835687,https://static.inaturalist.org/photos/20417405/medium.jpeg?1530122923,,86722,,
Athysanus argentarius,Metcalf,silver leafhopper,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Deltocephalinae,,genus is in CDC records,new 2019,documented,,,,,2019-07-11,benkeen,https://www.inaturalist.org/observations/28651539,https://static.inaturalist.org/photos/44678067/medium.jpeg?1562897675,,204626,,
Atimia confusa,Say,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Spondylidinae,Native,S4S5 (2017),confirmed,documented,1961-09-15,"Foster, J.B.",UBC,SEM-UBC COL-08417,2019-07-30,benkeen,https://www.inaturalist.org/observations/29872910,https://static.inaturalist.org/photos/46645059/medium.jpeg?1564516896,,214583,,
Atylotus tingaureus,Philip,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Tabaninae,Native,S4 (2017) ,confirmed,documented,1931-08-16,H.B. Leech,UBC,SEM-UBC TAB-0069,2019-08-25,kmfret,https://www.inaturalist.org/observations/32189103,https://static.inaturalist.org/photos/50459001/medium.jpeg?1567722411,,214629,,
Autographa ampla,Walker,large looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-28,benkeen,https://www.inaturalist.org/observations/27855559,https://static.inaturalist.org/photos/43384108/medium.jpeg?1561791951,,214671,,
Autographa californica,Speyer,alfalfa looper,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Native,S4S5 (2017),confirmed,documented,1927-08-14,not online,RBCM,ENT991-094377,2019-05-11,benkeen,https://www.inaturalist.org/observations/24958060,https://static.inaturalist.org/photos/38610055/medium.jpg?1557609068,historical record: West Vancouver,121823,,
Autographa corusca,Strecker,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Native,S4S5 (2017),confirmed,documented,1936-07-09,not online,RBCM,ENT991-094121,2019-07-26,benkeen,https://www.inaturalist.org/observations/29623617,https://static.inaturalist.org/photos/46241972/medium.jpeg?1564210189,historical record: West Vancouver,362247,,
Autographa metallica,Grote,shanded gold spot,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Native,S4S5 (2017),confirmed,documented,1930-08-14,not online,RBCM,ENT991-094501,2019-07-28,benkeen,https://www.inaturalist.org/observations/29742684,https://static.inaturalist.org/photos/46433984/medium.jpeg?1564351291,historical record: West Vancouver,214674,,
Banasa dimidiata,Say,green burgundy stink bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,not in CDC records,confirmed,documented,1961-09-15,J.B. Foster,UBC,SEM-UBC PEN-0321,2019-06-24,judithofsquamish,https://www.inaturalist.org/observations/27606511,https://static.inaturalist.org/photos/42971351/medium.jpeg?1561426947,,363224,,
Banasa sordida,Uhler,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,not in CDC records,confirmed,documented,1963-08-18,R. Taylor,UBC,SEM-UBC PEN-0436,2018-12-29,benkeen,https://www.inaturalist.org/observations/19300935,https://static.inaturalist.org/photos/29669562/medium.jpg?1546136728,,119735,,
Banksiola crotchi,Banks,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,Phryganeoidea,Phryganeidae,,Native,S4S5 (2016) ,new 2019,documented,,,,,2019-07-20,benkeen,https://www.inaturalist.org/observations/29227537,https://static.inaturalist.org/photos/45606007/medium.jpeg?1563696406,,214849,,
Barypeithes pellucidus,(Boheman),hairy spider weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Exotic,SNA (2017),reported,undocumented,1961-05-18,G.J. Spencer,UBC,SEM-UBC COL-25489,,,,,,214872,,
Basilia sp. ,Miranda-Ribeiro,a genus of bat fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Hippoboscoidea,Nycteribiidae,,,genus not in CDC records,new 2018,documented,,,,,2018-08-18,carl1986,https://www.inaturalist.org/observations/15715800,https://static.inaturalist.org/photos/23462083/medium.jpg?1534748115,,173390,,
Bembidion sp.,Latreille,a genus of beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,Trechinae,,genus is in CDC records,new 2019,documented,,,,,2019-04-05,benkeen,https://www.inaturalist.org/observations/22064998,https://static.inaturalist.org/photos/34170492/medium.jpg?1554515454,,130639,,
Besma quercivoraria,Guenée,oak besma moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-29,benkeen,https://www.inaturalist.org/observations/27890004,https://static.inaturalist.org/photos/43438496/medium.jpeg?1561840194,,143610,,
Biston betularia,Linnaeus,peppered moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017,new 2019,documented,,,,,2019-06-05,benkeen,https://www.inaturalist.org/observations/26474691,https://static.inaturalist.org/photos/41114074/medium.jpeg?1559788678,,143517,,
Blastobasinae,,a subfamily of moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Blastobasidae,Blastobasinae,,n/a,new 2019,documented,,,,,2019-06-25,benkeen,https://www.inaturalist.org/observations/27681039,https://static.inaturalist.org/photos/43094398/medium.jpeg?1561531602,,336937,,
Boarmiini,,a tribe of geometer moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,n/a,new 2019,documented,,,,,2019-05-11,benkeen,https://www.inaturalist.org/observations/24958061,https://static.inaturalist.org/photos/38610074/medium.jpg?1557609080,,124062,,
Bombus bifarius,Cresson,black-notched bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016) ,new 2014,documented,,,,,2014-07-25,elsemikkelsen,https://www.inaturalist.org/observations/9235983,https://static.inaturalist.org/photos/12500697/medium.jpg?1513982460,,127052,,
Bombus flavifrons,Cresson,yellow-fronted bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016,new 2017,documented,,,,,2017-07-22,gwenlh,https://www.inaturalist.org/observations/9724361,https://static.inaturalist.org/photos/13302814/medium.jpg?1517716404,,119308,,
Bombus melanopygus,Nylander,black-tailed bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016),confirmed,documented,1937-05-29,not online,RBCM,ENT991-027198,2018-03-31,judithofsquamish,https://www.inaturalist.org/observations/10528829,https://static.inaturalist.org/photos/14656306/medium.jpeg?1522518167,historical record: West Vancouver,130222,,
Bombus mixtus,Cresson,fuzzy-horned bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016) ,confirmed,documented,1934-07-30,not online,RBCM,ENT991-027242,2018-06-03,sea2skynaturebc,https://www.inaturalist.org/observations/13080756,https://static.inaturalist.org/photos/19054753/medium.jpg?1528045104,historical record: West Vancouver,319125,,
Bombus occidentalis,Greene,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S2S4 (2016),reported,undocumented,1969-09-14,J. Kato,UBC,SEM-UBC HYM-3088,,,,,historical record Bowen Island,82371,,
Bombus sitkensis,Nylander,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016),reported,undocumented,1932-06-13,not online,RBCM,ENT991-027093,,,,,historical record West Vancouver,142269,,
Bombus suckleyi,Greene,Suckley's cuckoo bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S3S4 (2016),reported,undocumented,1969-05-31,not online,RBCM,ENT991-027341,,,,,historical record Psithyrus suckleyi; Bowen Island,452445,,
Bombus vosnesenskii,Radoszkowski,yellow-faced bumble bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Native,S5 (2016) ,new 2019,documented,,,,,2019-03-30,judithofsquamish,https://www.inaturalist.org/observations/21794011,https://static.inaturalist.org/photos/33757588/medium.jpeg?1553975722,,57689,,
Bombylius major,Linnaeus,green bee fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Bombyliidae,Bombyliinae,Native,S5 (2016),reported,undocumented,1987-04-13,B. Elliot,UBC,SEM-UBC BOM-0433,,,,,,51557,,
Boreonectes griseostriatus,(DeGeer),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,,not in CDC records,reported,undocumented,1955-08-08,R. Stace-Smith,UBC,SEM-UBC COL-32731,,,,,,456162,,
Boreus californicus,Packard,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mecoptera,,,Boreidae,,,not in CDC records,reported,undocumented,1964-02-23,P.R. Grant,UBC,SEM-UBC MEC-0071,,,,,,196696,,
Boreus elegans,Carpenter,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mecoptera,,,Boreidae,,,not in CDC records,reported,undocumented,1986-12-24,S.G. Cannings,UBC,SEM-UBC MEC-0050,,,,,,450463,,
Brachypalpus alopex,(Osten Sacken),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera, ,Syrphidae,,,not in CDC records,reported,undocumented,1989-04-08,S.G. Cannings,UBC,SEM-UBC SYR-0010,,,,,,871285,,
Bruchidius villosus,Fabricius,broom seed beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Bruchinae,,genus is in CDC records,new 2018,documented,,,,,2018-06-07,fmgee,https://www.inaturalist.org/observations/13457027,https://static.inaturalist.org/photos/19753951/medium.jpeg?1529088640,,386880,,
Buenoa confusa,Truxal,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,,Notonectidae,Anisopinae,,not in CDC records,reported,undocumented,1961-08-25,G.G.E. Scudder,UBC,SEM-UBC NOT-0128,,,,,,871285,,
Buprestis aurulenta,Linnaeus,golden buprestid beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Native,S5 (2017,confirmed,documented,1961-07-16,G.J. Spencer,UBC,SEM-UBC COL-26544,2016-07-25,fmgee,http://inaturalist.ca/observations/3744644,https://static.inaturalist.org/photos/4354995/medium.jpeg?1469470773,,215596,,
Caenurgina erechtea,Cramer,forage looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Erebinae,Native,S5 (2017) ,new 2019,documented,,,,,2019-07-06,benkeen,https://www.inaturalist.org/observations/28317868,https://static.inaturalist.org/photos/44132391/medium.jpeg?1562445692,,126640,,
Callibaetis ferrugineus hageni,Walsh,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Ephemeroptera,,,Baetidae,,Native,S4S5 (2016) at sp. level,new 2018,documented,,,,,2018-08-28,judithofsquamish,https://www.inaturalist.org/observations/16512993,https://static.inaturalist.org/photos/24854884/medium.jpeg?1536899741,,234684,,
Callicorixa vulnerata,(Uhler),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,,not in CDC records,reported,undocumented,2005-06-16,R.D. Kenner & J. Swann,UBC,SEM-UBC COR-1064,,,,,,498430,,
