Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizorhagium roseum,Levinson,creeping orange hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: original record Garveia groenlandica updated to current iNaturalist taxonomy,547422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuchertinia milleri  ,Torrey,hedge-hog hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: original record: Clavactinia milleri  updated to current iNaturalist taxonomy,854771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Similiclava nivea ,"Calder, Choong & McDaniel",white hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Similiclavidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,873890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stylantheca papillosa ,Dall,encrusting hydrocoral,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Stylasteridae,,resident,S5? (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,131205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abietinaria inconstans,Clark,a sp of hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Exotic,genus not in CDC records,new 2021,documented,,,,,,3/6/2021,rachmunger,https://www.inaturalist.org/observations/70697390,iNat: needs i.d.,424310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abietinaria spp.,L.,coarse Sea fir hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,genus not in CDC records,,,2005-12-05T12:30:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Britannia bioherm,55322,,49.59062,-123.25868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aequorea victoria,Murbach & Shearer,victoria's crystal jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,Exotic,genus not in CDC records,new 2020,documented,,,,,,5/9/2020,rachmunger,https://www.inaturalist.org/observations/69990609,,325995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aequorea spp.,Péron & Lesueur,crystal jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,genus not in CDC records,reported,undocumented,2013-07-04T14:07:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,Gibbs: Porteau shoreline south,191502,,49.54983,-123.24167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aglaophenia spp. ,Lamouroux,ostrich-plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aequoreidae,,Exotic,genus not in CDC records,reported,undocumented,1968-07-03T13:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,51218,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clytia gregaria ,Agassiz,gregarious jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Exotic,genus not in CDC records,,,2007-05-30T14:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Britannia mine, north",195428,,49.63072,-123.21237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutonina indicans ,Romanes,aggregating jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Eirenidae,,Exotic,genus not in CDC records,,,,,,,,,,,,348053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halecium densum ,Calkins,dense bushy hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,Exotic,genus not in CDC records,,,,,,,,,,,,874028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrallmania franciscana ,Trask,loose spiral hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Exotic,genus not in CDC records,,,,,,,,,,,,873899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafoea dumosa ,Fleming,muff hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,Exotic,genus not in CDC records,,,,,,,,,,,,423721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitrocoma cellularia ,Agassiz,cross jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Mitrocomidae,,Exotic,genus not in CDC records,,,2012-04-25T11:05:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau 2008 slide,493918,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obelia spp. ,"Peron and Lesueur,",wine-glass hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Exotic,genus not in CDC records,,,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,49536,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthopyxis sp. ,Agassiz,spider web hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Exotic,genus not in CDC records,,,,,,,,,,,,500952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumularia setacea ,L.,glassy plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,209141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumularia sp.,Lamarck,none,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,genus not in CDC records,,,2004-08-10T14:17:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"Gibbs: Britannia mine, north",60609,,49.63072,-123.21237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizocaulus verticillatus ,L.,horse-tail hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,127158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginopsis sp. ,Allman,fish-bone hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,701033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sertularella spp. / Sertularia spp. ,Gray,garland hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,60656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuiaria thuja ,L.,bottlebrush hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Exotic,genus not in CDC records,,,,,,,,,,,,873882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muggiaea sp. ,Busch,dwarf tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,,Exotic,genus not in CDC records,,,,,,,,,,,,201710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanomia bijuga ,Delle Chiaje,tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,Agalmatidae,,Exotic,genus not in CDC records,reported,undocumented,2017-02-14T14:19:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"Gibbs: Defence Islands, shore bioherm",506580,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanomia bijuga,Delle Chiaje,none,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,,,,genus not in CDC records,reported,undocumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegina citrea ,Schuchert,four tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Aeginidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,256077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solmissus spp. ,Haeckel,scalloped jellies,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Cuninidae,,Exotic,genus not in CDC records,,,,,,,,,,,,247208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptychogastria polaris ,Allman,folded-stomach jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Trachymedusae,,,Ptychogastriidae,,Exotic,genus not in CDC records,,,,,,,,,,,,1072700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelia labiata ,L.,moon jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,,Exotic,genus not in CDC records,,,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,Gibbs: Porteau,130235,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysaora fuscescens ,Brandt,sea nettle,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Pelagiidae,,Exotic,genus not in CDC records,,,,,,,,,,,,48479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanea capillata ,L.,lion's mane,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,Exotic,genus not in CDC records,,,,,,,,,,,,69838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanea ferruginea,Eschscholtz,Pacific Lion's Mane Jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,Exotic,genus not in CDC records,XXX,,,,,,,4/21/2019,chilligan,https://www.inaturalist.org/observations/22822839,,786996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phacellophora camtschatica ,Brandt,fried egg jellyfish,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Phacellophoridae,,Exotic,genus not in CDC records,,,,,,,,,,,,52966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beroe spp.,Browne,transluscent comb jelly,Animalia,Ctenophora,,,Nuda,,,Beroida,,, Beroidae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,51507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euplokamis dunlapae ,Mills,oval sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Euplokamididae,,Exotic,genus not in CDC records,,,2011-02-05T11:07:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,873875,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurobrachia bachei ,Agassiz,sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Pleurobrachiidae,,Exotic,genus not in CDC records,reported,undocumented,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,117705,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolinopsis infundibulum ,Müller,lobed sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,Exotic,genus not in CDC records,,,2013-05-09T13:48:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau 2008 slide,492705,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteraster militaris,O.F. Muller,wrinkled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,Pterasteridae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,6/23/2018,thiebaud,https://www.inaturalist.org/observations/55767309,,255713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteraster tesselatus,Ives,Slime Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,Pterasteridae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,2/14/2018,imcote,https://www.inaturalist.org/observations/37938962,,194701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evasterias troschelii,Stimpson,mottled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Exotic,genus not in CDC records,confirmed,documented,2018-03-16T12:11:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-03-28,benkeen,https://www.inaturalist.org/observations/21721905,"Gibbs: Defence Islands, shore bioherm",84265,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophiura sarsii,Lütken,none,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,,,genus not in CDC records,,,1998-06-13T15:07:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,Gibbs: Porteau,202051,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orthasterias koehleri ,de Loriol,rainbow star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Exotic,genus not in CDC records,,,2018-03-16T12:11:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Defence Islands, shore bioherm",47669,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisaster brevispinus ,Stimpson,giant pink star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Exotic,genus not in CDC records,,,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,49539,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisaster ochraceus,Brandt.,ochre sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Exotic,genus not in CDC records,confirmed,documented,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-09-15,benkeen,https://www.inaturalist.org/observations/32797308,Gibbs: Porteau,49699,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pycnopodia helianthoides ,Brandt,sunflower star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae, Pycnopodiinae,Exotic,genus not in CDC records,reported,undocumented,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,47673,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stylasterias forreri,deLoriol,Velcro Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,Exotic,genus not in CDC records,confirmed,documented,2018-03-16T12:11:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",8/26/2018,arianecomeau,https://www.inaturalist.org/observations/46995683,"Gibbs: Defence Islands, shore bioherm",255883,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricia aspera  ,Fisher,ridged blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Exotic,genus not in CDC records,confirmed,documented,1997-02-11T12:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",6/23/2018,thiebaud,https://www.inaturalist.org/observations/55767328,Gibbs. Porteau.   ,1265168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricia leviuscula,Stimpson,Pacific Blood Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Exotic,genus not in CDC records,confirmed,documented,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2/14/2018,imcote,https://www.inaturalist.org/observations/37938579,Gibbs: Porteau; LGL record H. leviuscula leviuscula but not CDC & iNat,47664,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricia sanguinolenta,O.F. Muller,Northern Blood Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",3/6/2021,rachmunger,https://www.inaturalist.org/observations/70697373,iNat: needs i.d.,62364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gephyreaster swifti ,Fisher,gunpowder star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Pseudarchasteridae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,708286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luidia foliolata ,Grube,sand star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Luidiidae,,Exotic,genus not in CDC records,reported,undocumented,2011-02-05T13:49:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Porteau, ferry dock",195859,,49.55983,-123.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossaster papposus,L.,rose star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,confirmed,documented,2013-05-09T13:48:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",4/12/2020,arianecomeau,https://www.inaturalist.org/observations/46872392,Gibbs: Porteau 2008 slide,192687,,49.56617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramaster patagonicus ,Staden,cookie star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,537859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermasterias imbricata,Grube,Leather Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,Exotic,genus not in CDC records,confirmed,documented,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",6/20/2015,mlssofbc,http://www.inaturalist.org/observations/3189205,"Gibbs: Defence Islands, sponge garden",63382,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippasteria phrygiana,Parelius,spiny red star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,464048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophaster furcilliger,Fisher,pink crested star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",3/7/2019,rachmunger,https://www.inaturalist.org/observations/21044831,,195819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediaster aequalis,Stimpson,Vermilion Star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,Exotic,genus not in CDC records,confirmed,documented,2017-04-15T13:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2/14/2018,imcote,https://www.inaturalist.org/observations/37938570,Gibbs: Porteau,293174,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poraniopsis inflata,Fisher,thorny sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Poraniidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,1064871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteraster militaris,Müller,wrinkled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,255713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteraster tesselatus ,Ives,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,194701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaster dawsoni,Verrill,Morning sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",10/16/2013,neilmcdaniel,https://www.inaturalist.org/observations/87163142,Gibbs: Porteau 2008 slide,117692,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaster endeca ,L.,northern sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Exotic,genus not in CDC records,,,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,371725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
