iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:67,49.488118,-123.563341,L.,2022-06-26,,Lyrae
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:68,49.484187,-123.567353,L.,2022-06-26,,Lyrae
Maianthemum racemosum amplexicaule,53012,Maianthemum racemosum ssp. amplexicaule,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,racemosum,HOWE:69,49.484251,-123.567371,(L.) Link,2022-06-26,,Lyrae
Maianthemum stellatum,53268,Maianthemum stellatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,stellatum,HOWE:70,49.484741,-123.562171,(L.) Link.,2022-06-26,,Lyrae
Pectiantia pentandra,1424153,Pectiantia pentandra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Pectiantia,pentandra,HOWE:71,49.483845,-123.567396,(Hook.) Rydb.,2022-06-26,,Lyrae
Streptopus amplexifolius,79273,Streptopus amplexifolius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Streptopoideae,,Streptopus,amplexifolius,HOWE:72,49.484228,-123.5669,(L.) DC.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Streptopus amplexifolius,79273,Streptopus amplexifolius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Streptopoideae,,Streptopus,amplexifolius,HOWE:73,49.48272,-123.557726,(L.) DC.,2022-06-26,,Lyrae
Triantha glutinosa,169913,Triantha glutinosa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Tofieldiaceae,,,Triantha,glutinosa,HOWE:74,49.484211,-123.566944,Michx.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Vaccinium ovalifolium,63820,Vaccinium ovalifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,ovalifolium,HOWE:75,49.484211,-123.566944,Sm.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Vaccinium uliginosum,64714,Vaccinium uliginosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,uliginosum,HOWE:76,49.484228,-123.5669,L.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Viburnum edule,79499,Viburnum edule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,edule,HOWE:77,49.484228,-123.5669,(Michx.) Raf.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Veratrum viride eschscholtzianum,360545,Veratrum viride var. eschscholzianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Melanthieae,Veratrum,viride,HOWE:78,49.464303,-123.562637,Aiton,2021-09-15,,Richard C Till
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:79,49.461053,-123.55932,L.,2022-09-02,,Richard C Till
Veratrum viride eschscholtzianum,360545,Veratrum viride var. eschscholzianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Melanthieae,Veratrum,viride,HOWE:80,49.460345,-123.559614,Aiton,2022-09-02,,Richard C Till
Stachys chamissonis cooleyae,52627,Stachys chamissonis var. cooleyae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Stachydeae,Stachys,chamissonis,HOWE:81,49.390076,-123.554792,Benth.,2021-06-27,,brianjanice
Arnica lanceolata prima,79623,Arnica lanceolata ssp. prima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Arnica,lanceolata,HOWE:82,49.533333,-123.55,Nutt.,1970-07-28,McNair Creek: avalanche chute on W side of creek valley,C. Tay
Coptis aspleniifolia,160861,Coptis aspleniifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Coptidoideae,,Coptis,aspleniifolia,HOWE:83,49.492876,-123.543412,Salisb.,2022-06-26,,Lyrae
Lysichiton americanus,48537,Lysichiton americanus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Orontioideae,,Lysichiton,americanus,HOWE:84,49.494309,-123.542267,Hultén & H.St.John,2022-06-26,,Lyrae
Lysichiton americanus,48537,Lysichiton americanus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Orontioideae,,Lysichiton,americanus,HOWE:85,49.494084,-123.542251,Hultén & H.St.John,2022-06-26,,Lyrae
Cornus sanguinea,155124,Cornus sanguinea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Cornaceae,,,Cornus,sanguinea,HOWE:86,49.483972,-123.552622,L.,2016-08-25,"Track through forest from forest service road to Dakota Bog, Mt Elphinstone","Edinburgh, Howick Expedition to British Columbia (EHBC)"
Clintonia uniflora,76401,Clintonia uniflora,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Lilioideae,Medeoleae,Clintonia,uniflora,HOWE:87,49.451187,-123.541634,(Menzies ex Schult. & Schult. f.) Kunth,2021-07-24,,danielhennigar
