Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Sedum spathulifolium,Hook.,,broad-leaved stonecrop,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Crassulaceae,,,Sedum,spathulifolium,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-04-13,Brian Starzomski,https://www.inaturalist.org/observations/22396983,,58886,VAS,accepted,58886,Sedum spathulifolium,Sedum spathulifolium
Selaginella wallacei,Hieron.,,Wallace's selaginella,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,Selaginellaceae,,,Selaginella,wallacei,,,,native,S5,,confirmed,observed,1986-08-17,William J. Crins,UBC,V191361,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566424,,63875,VAS,accepted,63875,Selaginella wallacei,Selaginella wallacei
Sempervivum tectorum,L.,,houseleek,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,Semperviveae,Sempervivum,tectorum,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-10-22,Alejandro Huereca Delgado,https://www.inaturalist.org/observations/101067816,,51779,VAS,accepted,51779,Sempervivum tectorum,Sempervivum tectorum
Senecio sylvaticus,L.,,wood groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Senecio,sylvaticus,,,,exotic,unlisted,,confirmed,observed,1986-08-16,William J. Crins,UBC,V190909,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2631686,,53210,VAS,accepted,53210,Senecio sylvaticus,Senecio sylvaticus
Senecio vulgaris,L.,,common groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Senecio,vulgaris,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-10,Andrew Simon,http://www.inaturalist.org/observations/3317322,,53211,VAS,accepted,53211,Senecio vulgaris,Senecio vulgaris
Setaria viridis,(L.) P.Beauv.,,green bristlegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Setaria,viridis,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-08-11,Andrew Simon,https://www.inaturalist.org/observations/30789994,,79070,VAS,accepted,79070,Setaria viridis,Setaria viridis
Shepherdia canadensis,(L.) Nutt.,,soopolallie,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Elaeagnaceae,,,Shepherdia,canadensis,,,,native,S5,,confirmed,observed,1989-04-06,Gerald B. Straley,UBC,V197705,,2010-08-14,T. Abe Lloyd,https://www.inaturalist.org/observations/37239711,,79072,VAS,accepted,79072,Shepherdia canadensis,Shepherdia canadensis
Sherardia arvensis,L.,,field madder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Rubiaceae,Rubioideae,,Sherardia,arvensis,,,,exotic,unlisted,,confirmed,observed,1987-05-02,Gerald B. Straley,UBC,V191772,,2017-06-23,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/7549644,,47691,VAS,accepted,47691,Sherardia arvensis,Sherardia arvensis
Silene antirrhina,L.,,sleepy catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,antirrhina,,,,native,S5,,confirmed,observed,2022-06-13,Frank Lomer,UBC,13036,,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563565,,58780,VAS,accepted,58780,Silene antirrhina,Silene antirrhina
Silene coronaria,(Desr.) Clairv. ex Rchb.,,rose campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,coronaria,,,,exotic,unlisted,,confirmed,observed,1986-08-03,Gerald B. Straley,UBC,V190607,,2015-05-31,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2663725,Reported as Lychnis coronaria,485191,VAS,accepted,485191,Silene coronaria,Silene coronaria
Silene gallica,L.,,small-flowered catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,gallica,,,,exotic,unlisted,,new 2022,unobserved,2022-06-10,Frank Lomer,UBC,12997,,,,,,53212,VAS,accepted,53212,Silene gallica,Silene gallica
Silene latifolia,(Mill.) E.H.L. Krause,,white cockle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,latifolia,,,,exotic,unlisted,,reported,unobserved,1975-06-28,Angela Wood,RBCM,V097138,1949546413,,,,,128683,VAS,accepted,79109,Silene latifolia,Silene latifolia alba
Silene vulgaris,(Moench) Garcke,,bladder campion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Silene,vulgaris,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,55721,VAS,accepted,55721,Silene vulgaris,Silene vulgaris
Sinapis arvensis,L.,,corn mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sinapis,arvensis,,,,exotic,unlisted,,reported,unobserved,1928-01-07,J. Travis,RBCM,V020104,1949469423,,,,,53264,VAS,accepted,53264,Sinapis arvensis,Sinapis arvensis
Sisymbrium altissimum,L.,,tall tumble-mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sisymbrium,altissimum,,,,exotic,unlisted,,reported,unobserved,1982-08-14,Harvey Janszen,RBCM,V120266,1949569193,,,,waste ground and garden,56996,VAS,accepted,56996,Sisymbrium altissimum,Sisymbrium altissimum
Sisymbrium officinale,(L.) Scop.,,hedge mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Sisymbrium,officinale,,,,exotic,unlisted,,confirmed,observed,1975-05-14,Angela Wood,RBCM,V097720,1949546742,2016-05-05,Andrew Simon,http://www.inaturalist.org/observations/3113986,"waste ground, gravel pit; L-66",53266,VAS,accepted,53266,Sisymbrium officinale,Sisymbrium officinale
Sisyrinchium idahoense var. idahoense,E.P. Bicknell,,Idaho blue-eyed-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Sisyrinchieae,Sisyrinchium,idahoense,,,,native,S3S4,,confirmed,observed,2022-06-10,Frank Lomer,UBC,13005,,2022-06-12,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121538450,"S. macounii, S. segetum? Sometimes retained as varieties, sometimes synonymized",79129,VAS,accepted,81372,Sisyrinchium idahoense idahoense,Sisyrinchium idahoense
Solanum americanum,Mill.,,American black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solonaceae,Solanoideae,Solaneae,Solanum,americanum,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-09-07,Sylvie Hawkes,https://www.inaturalist.org/observations/62566198,,59035,VAS,accepted,59035,Solanum americanum,Solanum americanum
Solanum nigrum,L.,,black nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,nigrum,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-08-31,Adam Huggins,https://www.inaturalist.org/observations/16162530,,79141,VAS,accepted,1351686,Solanum nigrum,Solanum nigrum
Solanum physalifolium,Rusby,,ground-cherry nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,physalifolium,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-07-11,Andrew Simon,https://www.inaturalist.org/observations/14281200,,79142,VAS,accepted,79142,Solanum physalifolium,Solanum physalifolium
Solanum sarrachoides,Sendtn.,,hairy nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,Solanoideae,Solaneae,Solanum,sarrachoides,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-31,Andrew Simon,http://www.inaturalist.org/observations/3786944,,120519,VAS,accepted,120519,Solanum sarrachoides,Solanum sarrachoides
Solidago canadensis,L.,,Canada goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Solidago,canadensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-13,Andrew Simon,http://www.inaturalist.org/observations/3682274,,67808,VAS,accepted,67808,Solidago canadensis,Solidago canadensis
Soliva sessilis,Ruiz & Pav.,,carpet burweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Soliva,sessilis,,,,exotic,unlisted,,new 2019,observed,2022-06-11,Frank Lomer,UBC,13021,,2019-05-05,Jason Headley,https://www.inaturalist.org/observations/24698758,,60150,VAS,accepted,60150,Soliva sessilis,Soliva sessilis
Sonchus arvensis ssp. arvensis,L.,,perennial sow thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-27,Andrew Simon,http://www.inaturalist.org/observations/3540047,,79156,VAS,accepted,80219,Sonchus arvensis arvensis,Sonchus arvensis
Sonchus asper,(L.) Hill,,prickly sow-thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,asper,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-30,Andrew Simon,http://www.inaturalist.org/observations/3351171,,53269,VAS,accepted,53269,Sonchus asper,Sonchus asper
Sonchus oleraceus,(L.) L.,,common sow-thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,oleraceus,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2621485,,53294,VAS,accepted,53294,Sonchus oleraceus,Sonchus oleraceus
Sorbus aucuparia,L.,,European mountain-ash,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Sorbus,aucuparia,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-08-15,Adam Huggins,http://www.inaturalist.org/observations/3899003,,56063,VAS,accepted,56063,Sorbus aucuparia,Sorbus aucuparia
Sparganium angustifolium,Michx.,,narrow-leaved bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,angustifolium,,,,native,S5,,new 2017,observed,2017-05-27,Tyler Innes,Bioblitz Galiano2017,,,2018-07-12,Andrew Simon,https://www.inaturalist.org/observations/14300204,,79161,VAS,accepted,79161,Sparganium angustifolium,Sparganium angustifolium
Sparganium emersum,Rehmann,,emersed bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,emersum,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-08-13,Andrew Simon,http://www.inaturalist.org/observations/3881646,,62575,VAS,accepted,62575,Sparganium emersum,Sparganium emersum
Sparganium natans,L.,,small bur-reed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,Sparganium,natans,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2018-07-05,Andrew Simon,https://www.inaturalist.org/observations/14222179,,79162,VAS,accepted,79162,Sparganium natans,Sparganium natans
Spergula arvensis,L.,,corn-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Spergula,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-04-07,Andrew Simon,https://www.inaturalist.org/observations/10771293,,57005,VAS,accepted,57005,Spergula arvensis,Spergula arvensis
Spergularia canadensis var. occidentalis,(Pers.) G. Don,R. Rossbach,Canadian sand-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,canadensis,,,occidentalis,native,S5,,confirmed,observed,1979-08-15,Harvey Janszen,RBCM,V097810,1949546916,2016-07-18,Andrew Simon,http://www.inaturalist.org/observations/3701047,,81378,VAS,accepted,81378,Spergularia canadensis occidentalis,Spergularia canadensis occidentalis
Spergularia macrotheca var. macrotheca,(Hornem. ex Cham. & Schltdl.) Heynh.,,beach sand spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,macrotheca,,,,native,S4?,,new 2017,observed,,,,,,2017-08-11,Tyson Ehlers,https://www.inaturalist.org/observations/8816633,,61472,VAS,accepted,61474,Spergularia macrotheca macrotheca,Spergularia macrotheca
Spergularia marina,(L.) Besser,,saltmarsh sand spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,marina,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113522,1949562537,2017-08-04,Tyson Ehlers,https://www.inaturalist.org/observations/8848751,,79169,VAS,accepted,79169,Spergularia marina,Spergularia marina
Spergularia rubra,(L.) J. Presl. & C. Presl.,,red sand-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,Sperguleae,Spergularia,rubra,,,,exotic,unlisted,,confirmed,observed,1975-08-13,Angela Wood,RBCM,V097726,1949546726,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563737,,55730,VAS,accepted,55730,Spergularia rubra,Spergularia rubra
Spiraea douglasii var. douglasii,Hook.,,hardhack,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,douglasii,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-07-02,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2561767,,62493,VAS,accepted,243048,Spiraea douglasii douglasii,Spiraea douglasii
Spiranthes romanzoffiana,Cham.,,hooded ladies' tresses,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Spiranthes,romanzoffiana,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-14,Andrew Simon,http://www.inaturalist.org/observations/3680252,,50743,VAS,accepted,50743,Spiranthes romanzoffiana,Spiranthes romanzoffiana
Spirodela polyrhiza,(L.) Schleid.,,great duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Spirodela,polyrhiza,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3672168,,57867,VAS,accepted,57867,Spirodela polyrhiza,Spirodela polyrhiza
Stachys cooleyae,A. Heller,,Cooley's hedge-nettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,Lamioideae,Stachydeae,Stachys,cooleyae,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3395931,,52627,VAS,invalid,52627,Stachys chamissonis cooleyae,Stachys chamissonis cooleyae
Stellaria borealis ssp. sitchana,Bigelow,(Steud.) Piper & Beattie,boreal starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,borealis,,sitchana,,native,S5,,confirmed,observed,1975-05-25,Angela Wood,RBCM,V097367,1949546323,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625810,,60996,VAS,accepted,60996,Stellaria borealis sitchana,Stellaria borealis sitchana
Stellaria crispa,Cham. & Schltdl.,,crisp starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,crispa,,,,native,S5,,confirmed,observed,1975-06-08,Angela Wood,RBCM,V097244,1949546444,2016-07-10,Adam Huggins,http://www.inaturalist.org/observations/3654411,,79201,VAS,accepted,79201,Stellaria crispa,Stellaria crispa
Stellaria graminea,L.,,grass-leaved starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,graminea,,,,exotic,unlisted,,new 2015,observed,,,,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617682,,61948,VAS,accepted,61948,Stellaria graminea,Stellaria graminea
Stellaria media,(L.) Vill.,,common chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,media,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-26,Andrew Simon,http://www.inaturalist.org/observations/2588223,,53298,VAS,accepted,1087592,Stellaria media,Stellaria media
Stellaria nitens,Nutt.,,shining starwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,nitens,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178685,,2017-04-20,Andrew Simon,https://www.inaturalist.org/observations/5886028,,57007,VAS,accepted,57007,Stellaria nitens,Stellaria nitens
Struthiopteris spicant,(L.) F.W. Weiss,,deer fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Blechnaceae,,,Struthiopteris,spicant,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296145,Reported as Blechnum spicant,48432,VAS,accepted,774894,Struthiopteris spicant,Blechnum spicant
Symphoricarpos albus var. laevigatus,(L.) S.F. Blake,(Fernald) Hultén,garden snowberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,albus,,,laevigatus,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-02-13,Andrew Simon,http://www.inaturalist.org/observations/2679254,,48525,VAS,accepted,48525,Symphoricarpos albus laevigatus,Symphoricarpos albus laevigatus
Symphoricarpos mollis,Nutt.,,trailing snowberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,mollis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-05-29,Andrew Simon,https://www.inaturalist.org/observations/6434805,"""ours weakly defined as S.m. hesperius"" (FPNW2)",53456,VAS,accepted,53456,Symphoricarpos mollis,Symphoricarpos mollis
Symphyotrichum chilense,(Nees) G.L. Nesom,,common California aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,chilense,,,,native,S5,,confirmed,observed,1975-08-15,Angela Wood,RBCM,V097712B,1949546801,2016-09-11,Andrew Simon,http://www.inaturalist.org/observations/4092261,"Retreat Cove; ""Symphyotrichum chilense is the characteristic aster of littoral habitats along the west coast of Vancouver Island, and also occurs widely (though more locally) throughout the Georgia Depression (Figure 23). It is rare along the coast of B.C. north of Vancouver, although it has been collected rarely on the islands of Haida Gwaii; it is largely replaced ecologically by S. subspicatum north of Vancouver Island. Although primarily a species of marine and brackish shorelines and near-shore habitats, it also ranges locally inland at low elevations along major rivers and lakeshores” (Fenneman 2019 ined.)",56861,VAS,accepted,56861,Symphyotrichum chilense,Symphyotrichum chilense
Symphyotrichum chilense x subspicatum,(Nees) G.L. Nesom,,hybrid aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,chilense,Symphyotrichum chilense x subspicatum,,,native,,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,,VAS,accepted,56861,Symphyotrichum chilense,unknown
Symphyotrichum douglasii,,,Douglas’ aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,douglasii,,,,unlisted,unlisted,,new 2020,observed,,,,,,2020-09-01,Adam Huggins,https://www.inaturalist.org/observations/58311957,,1129083,VAS,unaccepted,79303,Symphyotrichum subspicatum,Symphyotrichum douglasii
Symphyotrichum novi-belgii,(L.) G.L. Nesom,,New York aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,novi-belgii,,,,exotic,unlisted,,new 2020,observed,,,,,,2020-09-17,Adam Huggins,https://www.inaturalist.org/observations/60158733,,243162,VAS,accepted,169474,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii novi-belgii
Symphyotrichum subspicatum,(Nees) G.L. Nesom,,Douglas' Aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,subspicatum,,,,exotic,unlisted,,confirmed,observed,1966-08-25,Bruce Bennett,BABY,561,,2020-09-01,Adam Huggins,https://www.inaturalist.org/observations/58311957,"Symphyotrichum douglasii sensu Fennamen (2019 ined.): ""Symphyotrichum douglasii is restricted in British Columbia to the southwestern coast of the province (Figure 39), where it is primarily a species of lacustrine and fluvial shorelines at low elevations of the Georgia Depression. It occurs most frequently along the southeastern coast of Vancouver Island, where it is the most common narrow-leaved Symphyotrichum away from areas of marine or estuarine influence”",79303,VAS,accepted,79303,Symphyotrichum subspicatum,Symphyotrichum subspicatum
Symphytum officinale,L.,,hybrid comfrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Boraginoidea,,Symphytum,officinale,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113510,1949562542,2018-05-14,Andrew Simon,https://www.inaturalist.org/observations/14524696,,55724,VAS,accepted,1247945,Symphytum officinale,Symphytum officinale
Symphytum x uplandicum,Nyman,,hybrid comfrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Boraginoidea,,Symphytum,,Symphytum x uplandicum,,,exotic,unlisted,,reported,unobserved,2012-04-21,Terry Taylor,Vascular Plants Seen on Galiano Island,,,,,,sterile hybrid between S. officinale and S. asperum); commonly grown as a “permaculture” plant in the SGI (usually as the Bocking selections) and may escape and persist; spreads by root fragments; probably retain.,709795,VAS,accepted,55725,Symphytum,Symphytum uplandicum
Tanacetum parthenium,(L.) Sch.Bip.,,feverfew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,parthenium,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-06-24,Sarah Tweedale,https://www.inaturalist.org/observations/13755090,,54520,VAS,accepted,54520,Tanacetum parthenium,Tanacetum parthenium
Tanacetum vulgare,L.,,common tansy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,vulgare,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-14,Andrew Simon,http://www.inaturalist.org/observations/3680834,,55971,VAS,accepted,55971,Tanacetum vulgare,Tanacetum vulgare
Taraxacum erythrospermum agg.,,,red-seeded dandelion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,erythrospermum,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,"Taraxacumas a genus is highly overlooked (C.R.Björk); a great diversity of Taraxacum spp. have yet to be reported for the project; PNW botanists are happy to adopt European microspecies when there are few of them (e.g. R. armeniacus: a microspecies consisting of a single clone). But there are too many species of Taraxacum in BC for this to be applied without very hard work and pain. But again there are real problems with using T. officinale and T. erythrospermum in the FPNW sense as they lump things which have different evolutionary origins. Best practice would be to use sections as broad level taxa or “species"" as these can be recognized quite easily with a bit of training (for instance Galiano has Taraxacum sect. Hamatum as its commonest dandelion group). We are not there yet... Pro tem., I suggest using ""T. officinale agg."", and ""T. erythrospermum agg."" (without authorities - they are not biologically species). There is a long road before BC botanists will accept a more biologically meaningful treatment of Taraxacum diversity. This does not much matter for the introductions (and there are no natives on Galiano), but is an absolute tragedy for the natives where a fantastic richness of endemic alpine species languish under the completely ridiculous name “T. ceratophorum”. (T. ceratophorum is an asian species that looks nothing like anything in BC!).",79317,VAS,accepted,79317,Taraxacum erythrospermum,Taraxacum erythrospermum
